"","ID","LongID","SiO2_n","TiO2_n","Al2O3_n","FeO_n","MnO_n","MgO_n","CaO_n","Na2O_n","K2O_n","Total_n","Type","Group","Eruption_ID","Volcano"
"303","SAM-671","SAM-671_PZ1_R1-90_06_23_R1_Reclus",8.76618503112956,0.391152144312159,3.6004166425568,1.10408333018844,0,0.479583152331272,1.23450394896088,2.06567180355448,1.61678693710705,100,"Acid","SAM","R1","Reclus"
"304","SAM-673","SAM-673_PZ1_R1-90_06_26_R1_Reclus",8.76350386546386,0.357770876399966,3.59916657019372,1.06583300755794,0.347850542618522,0.454972526643093,1.23247718031613,2.10285520186246,1.57733953225043,100,"Acid","SAM","R1","Reclus"
"305","SAM-675","SAM-675_PZ1_R1-90_06_28_R1_Reclus",8.76578576055792,0.275680975041804,3.62091148745727,1.161034021896,0.114017542509914,0.423083916026124,1.17728501222091,2.04132310034448,1.62449992305325,100,"Acid","SAM","R1","Reclus"
"306","SAM-676","SAM-676_PZ1_R1-90_06_29_R1_Reclus",8.76715461252966,0.401248052954778,3.61026314830374,1.14498908291739,0.184390889145858,0.481663783151692,1.23854753643128,2.01791972090071,1.60654909666652,100,"Acid","SAM","R1","Reclus"
"307","SAM-677","SAM-677_PZ1_R1-90_06_30_R1_Reclus",8.76287624013942,0.396232255123179,3.5968041370083,1.16876002669496,0.238746727726266,0.433589667773576,1.2300406497348,2.02657346276911,1.62542302186231,100,"Acid","SAM","R1","Reclus"
"308","SAM-678","SAM-678_PZ1_R1-90_06_31_R1_Reclus",8.78919791562347,0.343511280746353,3.59652610167089,1.1104053313993,0.161245154965971,0.413521462562707,1.23247718031613,1.97888857695425,1.62203575792891,100,"Acid","SAM","R1","Reclus"
"309","SAM-679","SAM-679_PZ1_R1-90_06_32_R1_Reclus",8.76772490444357,0.391152144312159,3.58231768552148,1.14498908291739,0.0632455532033676,0.461519230368573,1.23409886151799,2.0097263495312,1.67152624867215,100,"Acid","SAM","R1","Reclus"
"310","SAM-680","SAM-680_AVZ3-MB1-90_23W_4_MB1_Burney",8.83266664150753,0.474341649025257,3.53341194881095,1.10227038425243,0.219089023002066,0.5,1.1991663771137,2.10166600581539,1.30881625906771,100,"Acid","SAM","MB1","Burney"
"311","SAM-681","SAM-681_AVZ3-MB1-90_23W_7_MB1_Burney",8.82949602185765,0.397492138287036,3.52434391057399,1.09361784915939,0.0632455532033676,0.520576603392815,1.20871832947135,2.17990825495019,1.24739729036101,100,"Acid","SAM","MB1","Burney"
"312","SAM-683","SAM-683_AVZ3-MB1-90-21_6_AVZ3-MB1-90-21_6__MB1_Burney",8.80897269833435,0.490917508345343,3.50941590581681,1.22474487139159,0.258843582110896,0.551361950083609,1.26055543313255,2.12155603272692,1.29228479833201,100,"Acid","SAM","MB1","Burney"
