ID,LabID,LongID,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Total,SiO2_n,TiO2_n,Al2O3_n,FeO_n,MnO_n,MgO_n,CaO_n,Na2O_n,K2O_n,P2O5_n,SO2_n,Cl_n,Total_n,Type,TAS_Class,Group,Eruption_ID,Magma,Volcano
NAP-149,GC114/3/98-45,NAP-149_GC114/3/98-45_UK_Deception,49.59,2.06,14.27,9.73,0.19,8.42,10.21,3.32,0.55,0,0,0,98.34,50.42708969,2.094773236,14.51088062,9.894244458,0.19320724,8.562131381,10.38234696,3.376042302,0.559284116,0,0,0,100,Basic,Basalt,NAP,DI_NAP_UK,0,Deception
NAP-161,KC081/1/4-11,NAP-161_KC081/1/4-11_UK_Deception,51.45,2.72,15.98,11.03,0.23,4.37,8.49,4.26,0.55,0,0,0,99.08,51.92773516,2.745256358,16.12838111,11.13241825,0.232135648,4.410577311,8.568833266,4.299555914,0.555106984,0,0,0,100,Basic,Basalt,NAP,DI_NAP_UK,0,Deception
NAP-166,KC081/1/4-16,NAP-166_KC081/1/4-16_UK_Deception,50.66,2.68,16.07,10.42,0.21,4.17,8.5,4.82,0.51,0,0,0,98.04,51.67278662,2.733578131,16.39126887,10.62831497,0.214198286,4.253365973,8.669930641,4.916360669,0.520195838,0,0,0,100,Basic,Basaltic Trachyandesite,NAP,DI_NAP_UK,0,Deception
NAP-172,KC081/1/4-22,NAP-172_KC081/1/4-22_UK_Deception,50.45,2.56,15.67,11.28,0.2,4.17,8.53,4.75,0.52,0,0,0,98.13,51.41139305,2.608784266,15.96861306,11.49495567,0.203811271,4.249464995,8.692550698,4.840517681,0.529909304,0,0,0,100,Basic,Trachybasallt,NAP,DI_NAP_UK,0,Deception
NAP-176,KC081/1/4-26,NAP-176_KC081/1/4-26_UK_Deception,50.12,2.49,15.51,10.34,0.27,5,9.02,4.08,0.51,0,0,0,97.34,51.489624,2.55804397,15.93384015,10.6225601,0.277378262,5.136634477,9.266488597,4.191493733,0.523936717,0,0,0,100,Basic,Basalt,NAP,DI_NAP_UK,0,Deception
NAP-200,PC029/1/76-17,NAP-200_PC029/1/76-17_UK_Deception,50.25,2.41,14.76,10.52,0.18,5.62,9.31,4.03,0.51,0,0,0,97.59,51.49093145,2.469515319,15.12450046,10.77979301,0.184445128,5.758786761,9.539911876,4.129521467,0.522594528,0,0,0,100,Basic,Basalt,NAP,DI_NAP_UK,0,Deception
NAP-222,PC029/1/80-21,NAP-222_PC029/1/80-21_UK_Deception,48.7,2.22,19.34,10.27,0.15,4.02,8.08,3.88,0.59,0,0,0,97.25,50.07712082,2.28277635,19.88688946,10.56041131,0.154241645,4.133676093,8.30848329,3.989717224,0.606683805,0,0,0,100,Basic,Basalt,NAP,DI_NAP_UK,0,Deception
NAP-306,ARD1C_53-54-10,NAP-306_ARD1C_53-54-10_T4_Deception,51.1994,1.9222,15.678,9.6415,0.1736,5.4864,9.6035,4.2366,0.5428,0.2527,0,0,98.7367,51.85447762,1.946793847,15.87859428,9.76485947,0.175821149,5.556596483,9.726373274,4.290805749,0.549744928,0.255933204,0,0,100,Basic,Basalt,NAP,DI_NAP_T4,0,Deception
NAP-329,Beak1E_58.5-5-1,NAP-329_Beak1E_58.5-5-1_T5b_Deception,50.5582,2.69,14.0651,10.8885,0.2053,5.8662,9.249,4.3718,0.6173,0.4031,0,0,98.9145,51.11303196,2.719520394,14.21945215,11.00799175,0.207552988,5.930576407,9.350499674,4.419776676,0.624074327,0.407523669,0,0,100,Basic,Trachybasallt,NAP,DI_NAP_T5b,0,Deception
NAP-333,Beak1E_58.5-5-5,NAP-333_Beak1E_58.5-5-5_T5b_Deception,49.2773,2.325,13.8558,11.2485,0.2093,8.6095,9.4788,3.552,0.6483,0,0,0,99.2045,49.67244429,2.343643686,13.96690674,11.33869935,0.210978333,8.678537768,9.554808502,3.58048274,0.653498581,0,0,0,100,Basic,Basalt,NAP,DI_NAP_T5b,0,Deception
NAP-335,Beak1E_58.5-5-7,NAP-335_Beak1E_58.5-5-7_T5b_Deception,49.502,1.8972,16.3177,9.0256,0.164,7.2701,9.8796,3.9453,0.4654,0,0,0,98.4669,50.27273124,1.926738833,16.57176168,9.166125876,0.166553431,7.383293269,10.0334224,4.006727134,0.472646138,0,0,0,100,Basic,Basalt,NAP,DI_NAP_T5b,0,Deception
NAP-341,Beak1E_58.5-5-13,NAP-341_Beak1E_58.5-5-13_T5b_Deception,49.89,2.1006,16.7445,9.2217,0.1497,4.948,8.923,4.3635,1.4818,0,0,0,97.8228,51.00038028,2.147352151,17.11717514,9.426943412,0.153031809,5.058125509,9.121595374,4.460616543,1.514779785,0,0,0,100,Basic,Basaltic Trachyandesite,NAP,DI_NAP_T5b,0,Deception
NAP-347,Beak1E_58.5-5-19,NAP-347_Beak1E_58.5-5-19_T5b_Deception,47.9159,2.037,17.1527,9.9418,0.1651,5.8988,9.7163,4.2181,0.9674,0,0,0,98.0131,48.88724058,2.078293616,17.50041576,10.14333798,0.168446871,6.018379176,9.913266696,4.303608395,0.98701092,0,0,0,100,Basic,Trachybasallt,NAP,DI_NAP_T5b,0,Deception
NAP-351,Beak1E_58.5-5-23,NAP-351_Beak1E_58.5-5-23_T5b_Deception,49.7268,1.9115,16.5252,9.0821,0.1707,7.1688,9.9366,3.966,0.5657,0,0,0,99.0534,50.20201225,1.929767176,16.683122440000002,9.168892739,0.172331288,7.237308361,10.03155873,4.003900926,0.57110609,0,0,0,100,Basic,Basalt,NAP,DI_NAP_T5b,0,Deception
NAP-359,YAN8A-2_82-6,NAP-359_YAN8A-2_82-6_T6_Deception,50.1412,1.5778,16.3785,8.8625,0.16,7.4516,10.82,3.9154,0.1809,0.1489,0,0,99.6368,50.32397668,1.583551459,16.43820356,8.894805935,0.160583238,7.478762867,10.85944149,3.929672571,0.181559424,0.149442776,0,0,100,Basic,Basalt,NAP,DI_NAP_T6,0,Deception
NAP-392,PC461_63-66.5-7,NAP-392_PC461_63-66.5-7_T7b_350-353.5_Deception,51.2602,1.8338,16.0699,9.0968,0.1551,6.0913,10.5588,4.0209,0.4003,0.2491,0,0,99.7362,51.39578207,1.83865036,16.11240452,9.120860831,0.155510236,6.107411351,10.58672779,4.03153519,0.401358784,0.249758864,0,0,100,Basic,Basalt,NAP,DI_NAP_T7b_350-353.5,0,Deception
NAP-398,YAN8B-1_41-41.5-2,NAP-398_YAN8B-1_41-41.5-2_T7b_Deception,50.9028,1.7991,15.9017,8.7625,0.1578,6.2079,10.3207,3.8386,0.3954,0.2409,0,0,98.5274,51.66359815,1.825989522,16.13936834,8.893465168,0.160158494,6.300683871,10.47495418,3.895972085,0.401309686,0.244500515,0,0,100,Basic,Basalt,NAP,DI_NAP_T7b,0,Deception
NAP-405,YAN8B-1_41-41.5-9,NAP-405_YAN8B-1_41-41.5-9_T7b_Deception,50.8893,2.4564,15.509,10.6845,0.1809,4.1306,8.327,4.8563,0.5075,0.359,0,0,97.9005,51.9806334,2.509078095,15.84159427,10.9136317,0.184779444,4.21918172,8.505574537,4.960444533,0.518383461,0.366698842,0,0,100,Basic,Basaltic Trachyandesite,NAP,DI_NAP_T7b,0,Deception
NAP-413,YAN8B-1_41-41.5-17,NAP-413_YAN8B-1_41-41.5-17_T7b_Deception,51.8148,1.9702,16.0909,9.1878,0.1662,5.5662,9.8872,4.2899,0.42,0.2639,0,0,99.6571,51.99308429,1.976979061,16.14626554,9.219413368,0.166771861,5.585352173,9.921219863,4.304660681,0.421445135,0.264808027,0,0,100,Basic,Basalt,NAP,DI_NAP_T7b,0,Deception
NAP-423,PC460_73.5-74-1,NAP-423_PC460_73.5-74-1_T7a_Deception,51.2172,2.5407,15.3311,11.3303,0.2267,4.614,8.3096,4.7902,0.5382,0.3966,0,0,99.2946,51.58105275,2.558749418,15.44001386,11.41079172,0.228310502,4.646778375,8.368632332,4.824230119,0.542023433,0.399417491,0,0,100,Basic,Trachybasallt,NAP,DI_NAP_T7a,0,Deception
NAP-424,PC460_73.5-74-2,NAP-424_PC460_73.5-74-2_T7a_Deception,50.8903,2.4644,15.8647,10.3598,0.2091,4.2733,8.3222,4.652,0.5108,0.389,0,0,97.9356,51.96302468,2.516347477,16.19911452,10.57817586,0.213507652,4.363377566,8.49762497,4.750060244,0.521567234,0.397199793,0,0,100,Basic,Basaltic Trachyandesite,NAP,DI_NAP_T7a,0,Deception
NAP-429,PC460_73.5-74-7,NAP-429_PC460_73.5-74-7_T7a_Deception,49.9064,1.7889,16.0388,8.6537,0.158,6.1446,10.8156,3.9019,0.3667,0,0,0,97.7746,51.04229524,1.829616281,16.40385131,8.850662647,0.161596161,6.284454245,11.0617686,3.990709244,0.37504628,0,0,0,100,Basic,Basalt,NAP,DI_NAP_T7a,0,Deception
NAP-430,PC460_73.5-74-8,NAP-430_PC460_73.5-74-8_T7a_Deception,51.3638,2.4772,15.5097,11.1551,0.2046,4.4582,8.5993,4.1781,0.509,0.3935,0,0,98.8485,51.96214409,2.506057249,15.69037466,11.28504732,0.206983414,4.510134195,8.699474448,4.226771271,0.514929412,0.398083937,0,0,100,Basic,Basalt,NAP,DI_NAP_T7a,0,Deception
NAP-432,PC460_73.5-74-10,NAP-432_PC460_73.5-74-10_T7a_Deception,52.0632,2.4568,16.087,11.1208,0.2053,4.3305,8.9461,4.646,0.4613,0.3995,0,0,100.7165,51.69282094,2.439322256,15.97255663,11.04168632,0.20383949,4.299692702,8.882457194,4.612948226,0.458018299,0.396657946,0,0,100,Basic,Trachybasallt,NAP,DI_NAP_T7a,0,Deception
NAP-434,PC460_73.5-74-12,NAP-434_PC460_73.5-74-12_T7a_Deception,51.3118,2.4255,15.4429,10.6378,0.1993,4.7168,8.5567,4.7948,0.541,0.3916,0,0,99.0182,51.8205744,2.449549679,15.59602174,10.7432775,0.201276129,4.763568718,8.641542666,4.842342115,0.546364204,0.395482851,0,0,100,Basic,Basaltic Trachyandesite,NAP,DI_NAP_T7a,0,Deception
NAP-436,PC460_73.5-74-14,NAP-436_PC460_73.5-74-14_T7a_Deception,50.5552,1.9595,15.4702,8.933,0.1569,6.2475,10.4028,3.8727,0.3979,0.2791,0,0,98.2748,51.44268928,1.993898741,15.74177714,9.089817532,0.159654357,6.357173965,10.58541966,3.940684692,0.404885077,0.28399956,0,0,100,Basic,Basalt,NAP,DI_NAP_T7a,0,Deception
NAP-441,PC460_73.5-74-19,NAP-441_PC460_73.5-74-19_T7a_Deception,51.2952,2.4306,15.5577,11.0546,0.1933,4.5062,8.7787,4.4402,0.4865,0.381,0,0,99.124,51.74851701,2.452080223,15.69518986,11.1522941,0.195008272,4.546023163,8.856281022,4.479439893,0.490799403,0.384367055,0,0,100,Basic,Basalt,NAP,DI_NAP_T7a,0,Deception
NAP-453,Beak1D_70.5-71-6,NAP-453_Beak1D_70.5-71-6_T10_Deception,50.3232,3.8117,12.744,13.414,0.2562,3.9837,7.9545,4.5882,0.7133,0,0,0,97.7888,51.46110802,3.897890147,13.03216728,13.71731732,0.261993193,4.07377941,8.134367126,4.691948362,0.729429137,0,0,0,100,Basic,Trachybasallt,NAP,DI_NAP_T10,0,Deception
NAP-473,C2-27,NAP-473_C2-27_C_Deception,50.18,2.09,16.1,9.88,0.18,5.81,10.36,4.7,0.69,0,0,0,99.99,50.1850185,2.090209021,16.10161016,9.880988099,0.180018002,5.810581058,10.3610361,4.700470047,0.690069007,0,0,0,100,Basic,Trachybasallt,NAP,DI_NAP_C,0,Deception
NAP-474,C2-19,NAP-474_C2-19_C_Deception,50.56,1.9,15.1,10.03,0.14,8.7,8.99,4.02,0.57,0,0,0,100.01,50.55494451,1.899810019,15.09849015,10.0289971,0.139986001,8.699130087,8.98910109,4.01959804,0.569943006,0,0,0,100,Basic,Basalt,NAP,DI_NAP_C,0,Deception
NAP-475,C1-04,NAP-475_C1-04_C_Deception,50.68,1.71,17.01,8.68,0.21,6.57,10.78,4.01,0.36,0,0,0,100.01,50.67493251,1.709829017,17.00829917,8.679132087,0.209979002,6.569343066,10.77892211,4.00959904,0.359964004,0,0,0,100,Basic,Basalt,NAP,DI_NAP_C,0,Deception
NAP-476,C2-33,NAP-476_C2-33_C_Deception,50.82,1.95,15.99,9.91,0.16,5.88,10.27,4.37,0.65,0,0,0,100,50.82,1.95,15.99,9.91,0.16,5.88,10.27,4.37,0.65,0,0,0,100,Basic,Trachybasallt,NAP,DI_NAP_C,0,Deception
NAP-523,R2-22,NAP-523_R2-22_R_Deception,50.49,1.82,16.87,9.36,0.12,6.1,10.69,4.15,0.4,0,0,0,100,50.49,1.82,16.87,9.36,0.12,6.1,10.69,4.15,0.4,0,0,0,100,Basic,Basalt,NAP,DI_NAP_R,0,Deception
NAP-650,CN_B-37,NAP-650_CN_B-37_T2_Deception,50.20243536,2.25760128,14.12947008,10.54844736,0.22381392,5.42018928,9.38072256,4.1843472,0.62278656,0.33085536,0.00973104,0,97.3104,51.59,2.32,14.52,10.84,0.23,5.57,9.64,4.3,0.64,0.34,0.01,0,100,Basic,Basalt,NAP,DI_NAP_T2,0,Deception
NAP-780,ES1 A-34,NAP-780_ES1 A-34_T1_Deception,50.6242146,1.926941606,15.52423212,10.03985985,0.138344526,5.998223358,9.545772263,4.130572263,0.503969343,0.395270073,0,0,98.8274,51.22487751,1.949805019,15.70842916,10.1589841,0.139986001,6.069393061,9.659034097,4.179582042,0.509949005,0.399960004,0,0,100,Basic,Basalt,NAP,DI_NAP_T1,0,Deception
NAP-781,ES1 A-35,NAP-781_ES1 A-35_T1_Deception,50.61484368,1.942174563,15.6655603,9.917906649,0.187316328,5.865958704,9.503838976,3.982936666,0.483078952,0.374632657,0.059152525,0,98.5974,51.33486651,1.96980302,15.88841116,10.0589941,0.189981002,5.949405059,9.639036096,4.03959604,0.489951005,0.379962004,0.059994001,0,100,Basic,Basalt,NAP,DI_NAP_T1,0,Deception
NAP-782,ES1 A-36,NAP-782_ES1 A-36_T1_Deception,50.68110309,1.94700396,15.68419857,9.636686269,0.196667067,5.850845235,9.469519262,3.923507981,0.521167727,0.403167487,0.009833353,0,98.3237,51.54515452,1.98019802,15.95159516,9.800980098,0.200020002,5.95059506,9.630963096,3.99039904,0.530053005,0.410041004,0.010001,0,100,Basic,Basalt,NAP,DI_NAP_T1,0,Deception
NAP-820,ES1 B-23,NAP-820_ES1 B-23_T2_Deception,50.75436288,1.94676976,15.53462976,9.85243376,0.1482312,5.71184224,9.79314128,4.21964816,0.5435144,0.28658032,0.02964624,0,98.8208,51.36,1.97,15.72,9.97,0.15,5.78,9.91,4.27,0.55,0.29,0.03,0,100,Basic,Basalt,NAP,DI_NAP_T2,0,Deception
NAP-821,ES1 B-24,NAP-821_ES1 B-24_T2_Deception,51.28671848,2.167880978,14.68021685,10.40384889,0.128686999,5.404853945,9.522837904,4.286266957,0.633535994,0.465252995,0,0,98.9801,51.81518152,2.190219022,14.83148315,10.51105111,0.130013001,5.460546055,9.620962096,4.330433043,0.640064006,0.470047005,0,0,100,Basic,Basalt,NAP,DI_NAP_T2,0,Deception
NAP-852,ES1 B-55,NAP-852_ES1 B-55_T2_Deception,50.74274851,2.173011221,14.48674147,10.28754411,0.156613421,5.20739626,9.31849857,4.443905831,0.577511991,0.430686909,0.048941694,0,97.8736,51.84518452,2.220222022,14.80148015,10.51105111,0.160016002,5.320532053,9.520952095,4.540454045,0.590059006,0.440044004,0.050005001,0,100,Basic,Trachybasallt,NAP,DI_NAP_T2,0,Deception
NAP-853,ES1 B-56,NAP-853_ES1 B-56_T2_Deception,51.28778234,2.11150162,14.52397376,10.18256856,0.12826879,5.19981941,9.6694934,4.51900814,0.63147712,0.40454003,0.00986683,0,98.6683,51.98,2.14,14.72,10.32,0.13,5.27,9.8,4.58,0.64,0.41,0.01,0,100,Basic,Basaltic Trachyandesite,NAP,DI_NAP_T2,0,Deception
NAP-1082,L6_186,NAP-1082_L6_186_T3A_Deception,51.36771222,2.178344013,15.57858186,11.05730873,0.20061318,5.339983642,9.280592506,4.092147585,0.512722729,0.341313369,0.050479454,0,99.99979929,51.36781532,2.178348385,15.57861313,11.05733093,0.200613583,5.33999436,9.280611134,4.092155798,0.512723758,0.341314054,0.050479556,0,100,Basic,Basalt,NAP,DI_NAP_T3A,0,Deception
NAP-1083,L6_195,NAP-1083_L6_195_T3A_Deception,51.42511537,2.026367684,15.25381691,10.15704731,0.219662933,5.753623778,10.28949562,4.068897518,0.444509951,0.322938055,0.038524873,0,100,51.42511537,2.026367684,15.25381691,10.15704731,0.219662933,5.753623778,10.28949562,4.068897518,0.444509951,0.322938055,0.038524873,0,100,Basic,Basalt,NAP,DI_NAP_T3A,0,Deception
NAP-1084,L6_218,NAP-1084_L6_218_T3A_Deception,51.58228784,1.74978101,16.31317195,8.935008571,0.177741611,5.893516153,10.63533193,3.970072514,0.407694182,0.255854103,0.079438161,0,99.99989803,51.58234044,1.749782794,16.31318858,8.935017682,0.177741792,5.893522163,10.63534278,3.970076563,0.407694598,0.255854364,0.079438242,0,100,Basic,Basalt,NAP,DI_NAP_T3A,0,Deception
NAP-1085,L6_194,NAP-1085_L6_194_T3A_Deception,51.85535116,2.384546882,15.90733195,11.00817565,0.180720591,4.347847937,8.943960535,4.332268576,0.523868587,0.414813058,0.101215592,0,100.0001005,51.85529904,2.384544485,15.90731596,11.00816458,0.180720409,4.347843567,8.943951545,4.332264222,0.52386806,0.414812641,0.10121549,0,100,Basic,Basalt,NAP,DI_NAP_T3A,0,Deception
NAP-1091,L6_202,NAP-1091_L6_202_T3A_Deception,51.67600239,2.392747756,15.86947427,11.06626752,0.190039565,4.351162987,8.5909691,4.820816203,0.575513499,0.40186192,0.065144789,0,100,51.67600239,2.392747756,15.86947427,11.06626752,0.190039565,4.351162987,8.5909691,4.820816203,0.575513499,0.40186192,0.065144789,0,100,Basic,Basaltic Trachyandesite,NAP,DI_NAP_T3A,0,Deception
NAP-1180,BP_L5-B_15,NAP-1180_BP_L5-B_15_T2_Deception,50.01,1.92,16.74,9.28,0.12,6.83,10.09,4.1,0.56,0.31,0.03,0,99.99,50.0150015,1.920192019,16.74167417,9.280928093,0.120012001,6.830683068,10.0910091,4.100410041,0.560056006,0.310031003,0.030003,0,100,Basic,Basalt,NAP,DI_NAP_T2,0,Deception
NAP-1189,BP_L5-B_15,NAP-1189_BP_L5-B_15_T2_Deception,49.52,1.88,16.59,9.47,0.19,7.21,10.31,3.96,0.54,0.32,0.02,0,100.01,49.5150485,1.879812019,16.58834117,9.469053095,0.189981002,7.209279072,10.3089691,3.95960404,0.539946005,0.319968003,0.019998,0,100,Basic,Basalt,NAP,DI_NAP_T2,0,Deception
DI-5,837.5,DI-5_837.5_1_Deception,48.76,0.7,21.57,5.479782,0.09,8.19,12.43,2.37,0.22,0.08,0,0,99.889782,48.8138016,0.700772377,21.59380025,5.48582837,0.090099306,8.199036814,12.44371521,2.372615049,0.220242747,0.080088272,0,0,100,Basic,Basalt,DI,DI_UK_1,1,Deception
DI-6,859.3,DI-6_859.3_1_Deception,49.98,1.72,18.17,8.68307,0.16,6.34,10.01,3.83,0.47,0.25,0,0,99.61307,50.1741388,1.726681047,18.24057827,8.716797906,0.160621493,6.36462665,10.04888214,3.844876983,0.471825635,0.250971082,0,0,100,Basic,Basalt,DI,DI_UK_1,1,Deception
DI-7,751.2,DI-7_751.2_1_Deception,51.69,1.73,17.04,8.72806,0.16,5.74,9.65,4.1,0.44,0.25,0,0,99.52806,51.93510252,1.738203277,17.1207999,8.769446526,0.160758685,5.767217808,9.695758161,4.119441291,0.442086382,0.251185445,0,0,100,Basic,Basalt,DI,DI_UK_1,1,Deception
DI-65,DI_29b_K_2,DI-65_DI_29b_K_2 _1_Deception,51.89,2.09,14.98,10.28,0.1596,5.69,9.86,4.5,0.4952,0,0,0,99.9448,51.9186591,2.091154317,14.98827353,10.28567769,0.159688148,5.693142615,9.865445726,4.502485372,0.495473501,0,0,0,100,Basic,Basalt,DI,DI_UK_1,1,Deception
DI-162,DI_68_C_vidre1,DI-162_DI_68_C_vidre1_1_Deception,50.68,2.01,14.83,9.44,0.19,5.71,9.63,4.43,0.55,0,0,0,97.47,51.99548579,2.062172976,15.21493793,9.685031292,0.194931774,5.858212783,9.879963066,4.544988201,0.564276188,0,0,0,100,Basic,Basaltic Trachyandesite,DI,DI_UK_1,1,Deception
DI-164,DI_68_C_vidre3,DI-164_DI_68_C_vidre3_1_Deception,50.45,1.85,16.38,8.43,0.17,5.05,10.14,4.21,0.43,0,0,0,97.11,51.95139532,1.905056122,16.86746988,8.680877356,0.175059211,5.200288333,10.44176707,4.335289877,0.442796828,0,0,0,100,Basic,Basalt,DI,DI_UK_1,1,Deception
DI-322,DI-46-C-VIDRE1,DI-322_DI-46-C-VIDRE1 _post-caldera_Deception,50.29,2.36,14.32,9.42,0.1849,6.42,11.08,3.87,0.4914,0,0,0,98.4363,51.08887677,2.397489544,14.54747893,9.569640468,0.18783721,6.521984268,11.25601023,3.931476498,0.499206086,0,0,0,100,Basic,Basalt,DI,DI_post-caldera,0,Deception
DI-323,DI-46-C-VIDRE2,DI-323_DI-46-C-VIDRE2 _post-caldera_Deception,49.33,2.45,14.42,14.64,0.2232,3.72,6.87,4.46,1.017,0,0,0,97.1302,50.78749967,2.522387476,14.846052,15.0725521,0.229794647,3.82991078,7.072980391,4.591774752,1.047048189,0,0,0,100,Basic,Trachybasallt,DI,DI_post-caldera,0,Deception
K33-2,RH0831,K33-2_RH0831_UK_UK,50.276,1.9222,14.8893,9.7502,0.1562,6.0757,9.5909,4.1251,0.5503,0.2887,0,0,97.6246,51.49931472,1.968970936,15.25158618,9.98744169,0.160000656,6.223533822,9.824265605,4.225471859,0.56368989,0.295724643,0,0,100,Basic,Basalt,K33,K33_UK,0,UK
K33-3,RH0831,K33-3_RH0831_UK_UK,50.9275,2.0089,14.7175,10.001,0.1703,6.206,9.7382,3.907,0.4781,0.3034,0,0,98.4579,51.72515359,2.04036446,14.94801331,10.15764098,0.172967329,6.303201673,9.890724868,3.968193512,0.485588257,0.308152012,0,0,100,Basic,Basalt,K33,K33_UK,0,UK
SAM-113,POR1_41-45-1,SAM-113_POR1_41-45-1_UK_Solipuli,51.2214,2.4509,14.8571,10.8186,0.1938,4.311,7.8748,4.3513,1.2397,0,0,0,97.3186,52.63269303,2.518429159,15.26645472,11.11668273,0.199139733,4.429780124,8.091772796,4.471190502,1.273857207,0,0,0,100,Intermediate,Basaltic Trachyandesite,SAM,So_UK,0,Solipuli
SAM-122,POR1_41-45-10,SAM-122_POR1_41-45-10_UK_Solipuli,51.0335,2.3733,15.0959,10.7482,0.2289,4.0186,8.0736,4.3447,1.159,0,0,0,97.0757,52.57082874,2.444793084,15.55064759,11.07197785,0.235795364,4.139655959,8.316808429,4.475579367,1.193913616,0,0,0,100,Intermediate,Basaltic Trachyandesite,SAM,So_UK,0,Solipuli
