depth_cm,unit,min_Sh20_age_BP,max_Sh20_age_BP,median_Sh20_age_BP,mean_Sh20_age_BP,Si_pc_TSN,K_pc_TSN,Ca_pc_TSN,Ti_pc_TSN,Mn_pc_TSN,Fe_pc_TSN,Zn_pc_TSN,Br_pc_TSN,Rb_pc_TSN,Sr_pc_TSN,Zr_pc_TSN,Mo_inc_pc_TSN,Mo_coh_pc_TSN,SUM_pc_TSN,Mo_inc_coh_ratio
9,9,485.57,842.18,696.04,686.82,0.1,0.181,3.052,1.783,1.37,74.195,0.089,0.106,0.034,1.595,0.361,11.935,3.518,98.318,3.392120571
9.02,9,488.37,842.66,697.4,687.99,0.08,0.157,3.183,1.799,1.529,73.437,0.051,0.104,0.09,1.612,0.303,12.408,3.541,98.296,3.504310345
9.04,9,490.93,843.14,698.14,689.17,0.08,0.169,3.189,1.862,1.591,73.237,0.143,0.078,0.05,1.579,0.491,12.655,3.662,98.791,3.455682726
9.06,9,493.69,843.59,698.89,690.34,0.1,0.149,3.282,1.711,1.512,73.296,0.129,0.053,0.039,1.631,0.414,12.459,3.803,98.584,3.2760752
9.08,9,496.47,844.35,699.68,691.52,0.11,0.176,3.204,1.933,1.521,73.73,0.03,0.117,0,1.527,0.321,12.511,3.559,98.741,3.515422078
9.1,9,499.33,845.1,700.4,692.7,0.11,0.196,3.364,1.887,1.611,73.457,0.127,0.09,0.041,1.59,0.393,12.215,3.435,98.518,3.555494049
9.12,9,502.23,845.85,701.28,693.87,0.1,0.155,3.347,1.863,1.593,73.207,0.149,0,0.063,1.59,0.5,12.088,3.689,98.34,3.27675841
9.14,9,505.28,846.63,702.04,695.05,0.09,0.173,3.218,1.957,1.634,72.909,0.165,0.094,0.136,1.727,0.488,12.125,3.703,98.418,3.274640657
9.16,9,508.91,847.68,702.93,696.22,0.12,0.176,3.251,1.77,1.636,73.836,0.131,0.107,0.132,1.557,0.409,11.902,3.473,98.5,3.426626736
9.18,9,511.87,848.68,703.88,697.4,0.09,0.145,3.295,1.725,1.658,73.748,0.132,0.063,0.015,1.625,0.361,11.864,3.582,98.308,3.312351857
9.2,9,514.65,849.36,704.91,698.57,0.12,0.16,3.059,1.909,1.536,73.77,0.13,0.045,0.081,1.631,0.369,11.83,3.512,98.153,3.368979592
9.22,9,517.81,849.87,705.53,699.75,0.11,0.135,3.128,1.791,1.477,73.935,0.05,0.165,0.032,1.735,0.353,11.932,3.548,98.387,3.362997025
9.24,9,520.81,850.36,706.84,700.92,0.08,0.172,3.159,1.84,1.556,72.945,0.094,0.024,0.11,1.742,0.438,12.355,3.604,98.123,3.428303906
9.26,9,523.74,850.84,707.78,702.1,0.11,0.159,3.128,1.747,1.699,73.148,0.092,0.146,0.037,1.659,0.44,12.31,3.715,98.39,3.313170987
9.28,9,526.77,851.44,708.68,703.27,0.13,0.161,3.092,1.784,1.53,71.862,0.117,0.081,0.059,1.845,0.443,13.266,3.845,98.216,3.449774715
9.3,9,530.6,852.25,709.51,704.45,0.05,0.156,3.006,1.765,1.663,71.841,0.126,0.119,0,1.754,0.507,13.174,3.966,98.125,3.322051549
9.32,9,534.84,853.13,710.23,705.62,0.11,0.153,3.084,1.759,1.723,71.918,0.122,0.12,0.014,1.747,0.496,13.176,3.892,98.309,3.38573701
9.34,9,537.9,853.94,711.36,706.8,0.08,0.126,2.997,1.819,2.012,71.785,0.098,0,0.169,1.683,0.445,13.092,4.001,98.312,3.271817248
9.36,9,540.58,854.44,712.09,707.97,0.11,0.133,3.184,1.777,1.97,71.165,0.146,0.009,0.057,1.765,0.535,13.257,3.801,97.914,3.488309594
9.38,9,543.15,854.93,712.72,709.15,0.13,0.159,3.055,1.823,2.001,72.059,0.167,0.127,0,1.699,0.449,12.982,3.82,98.469,3.398248872
9.4,9,545.56,855.4,713.79,710.32,0.11,0.143,3.034,1.672,1.957,72.745,0.139,0.188,0,1.616,0.278,12.856,3.762,98.497,3.41709218
9.42,9,549.23,856.05,714.83,711.5,0.11,0.133,2.972,1.78,2.018,72.281,0.123,0.114,0.149,1.668,0.395,12.992,3.784,98.524,3.43336887
9.44,9,552.64,856.76,715.77,712.67,0.1,0.158,2.946,1.711,2.209,71.99,0.12,0.141,0.087,1.664,0.402,12.718,3.727,97.975,3.412165848
9.46,9,554.96,857.47,716.46,713.85,0.12,0.133,3.2,1.839,1.87,72.206,0.099,0.139,0,1.47,0.503,12.99,3.886,98.46,3.34297738
9.48,9,558.07,858.03,717.42,715.02,0.09,0.155,3.254,1.79,1.638,72.796,0.138,0.091,0.015,1.616,0.393,12.352,3.774,98.099,3.273221216
9.5,9,561.8,858.61,718.49,716.2,0.09,0.155,3.249,1.787,1.679,73.243,0.09,0.157,0.038,1.647,0.496,12.163,3.684,98.48,3.30206428
9.52,9,564.1,859.61,719.43,717.38,0.09,0.146,3.135,1.652,1.752,73.621,0.138,0.073,0.079,1.658,0.458,11.972,3.618,98.389,3.309371672
9.54,9,566.51,860.17,720.45,718.55,0.08,0.151,3.002,1.641,1.956,74.207,0.12,0.075,0.06,1.547,0.386,12.027,3.516,98.77,3.420939018
9.56,9,570.26,861.01,721.4,719.73,0.07,0.148,2.957,1.589,2.111,74.132,0.105,0.167,0.091,1.583,0.396,11.664,3.509,98.522,3.324455206
9.58,9,573.11,861.6,722.56,720.9,0.09,0.153,2.936,1.749,2.212,74.16,0.084,0.079,0.132,1.517,0.492,11.571,3.441,98.616,3.362554113
9.6,9,575.66,862.18,723.45,722.08,0.12,0.163,2.938,1.686,2.163,74.236,0.063,0.143,0.051,1.676,0.387,11.403,3.413,98.44,3.341192412
9.62,9,578.17,862.76,724.68,723.25,0.08,0.142,2.788,1.565,2.203,74.401,0.094,0.104,0,1.588,0.361,11.728,3.399,98.457,3.449823225
9.64,9,580.28,863.17,725.59,724.43,0.1,0.126,2.685,1.616,2.21,74.688,0.098,0.136,0.047,1.669,0.379,11.438,3.409,98.597,3.355526316
9.66,9,582.7,863.58,726.36,725.6,0.09,0.137,2.709,1.576,2.317,74.69,0.079,0.089,0.113,1.483,0.355,11.478,3.399,98.514,3.377299002
9.68,9,585.15,864.22,727.27,726.78,0.1,0.15,2.713,1.564,2.479,73.338,0.118,0.167,0.061,1.602,0.482,12.051,3.609,98.432,3.339565437
9.7,9,587.62,865.01,728.15,727.95,0.1,0.146,2.904,1.774,2.57,74.022,0.113,0,0.094,1.551,0.392,11.628,3.327,98.623,3.495268992
9.72,9,589.66,865.79,729.16,729.13,0.1,0.153,2.927,1.655,2.61,73.861,0.11,0.086,0.091,1.573,0.389,11.415,3.503,98.469,3.258889742
9.74,9,591.81,866.57,730.23,730.3,0.09,0.148,2.899,1.821,2.519,73.413,0.106,0.061,0.063,1.668,0.466,11.729,3.501,98.485,3.350585176
9.76,9,593.83,867.34,731.16,731.48,0.07,0.125,2.863,1.642,2.368,73.526,0.091,0.074,0.061,1.7,0.43,12.099,3.59,98.643,3.369734789
9.78,9,595.77,868.41,732.01,732.65,0.08,0.162,3.038,1.704,2.308,72.76,0.096,0.127,0,1.753,0.477,12.321,3.738,98.567,3.296526055
9.8,9,597.95,869.13,733.11,733.83,0.08,0.145,2.94,1.794,2.263,72.841,0.17,0.087,0.047,1.601,0.369,12.421,3.563,98.318,3.486136305
9.82,9,600.5,869.83,734.16,735,0.1,0.142,2.927,1.735,2.253,73.203,0.154,0.145,0.028,1.67,0.385,12.387,3.453,98.577,3.587440382
9.84,9,603.05,870.5,735.38,736.18,0.07,0.123,2.93,1.756,2.104,73.688,0.093,0.117,0.007,1.56,0.411,11.968,3.554,98.383,3.367253252
