depth_cm,unit,min_Sh20_age_BP,max_Sh20_age_BP,median_Sh20_age_BP,mean_Sh20_age_BP,Si_pc_TSN,K_pc_TSN,Ca_pc_TSN,Ti_pc_TSN,Mn_pc_TSN,Fe_pc_TSN,Zn_pc_TSN,Br_pc_TSN,Rb_pc_TSN,Sr_pc_TSN,Zr_pc_TSN,Mo_inc_pc_TSN,Mo_coh_pc_TSN,SUM_pc_TSN,Mo_inc_coh_ratio
34.14,T2,1477.34,2216.4,1688.16,1708.2,0.06,0.191,4.746,2.279,1.261,72.613,0.181,0.039,0.051,1.852,0.645,10.509,3.87,98.3,2.715927312
34.16,T2,1477.34,2216.4,1688.16,1708.2,0.08,0.214,4.538,2.215,1.157,71.773,0.118,0.108,0.035,2.08,0.563,11.283,3.962,98.126,2.847997821
34.18,T2,1477.34,2216.4,1688.16,1708.2,0.05,0.181,4.53,2.207,1.195,72.805,0.142,0.067,0,1.909,0.519,11.023,3.953,98.586,2.788297872
34.2,T2,1477.34,2216.4,1688.16,1708.2,0.05,0.201,4.465,2.244,1.183,73.11,0.124,0.016,0,1.853,0.505,10.854,3.784,98.393,2.868843683
34.22,5,1477.34,2216.4,1688.16,1708.2,0.04,0.201,4.252,2.106,1.371,72.871,0.121,0.094,0,1.985,0.457,11.23,3.834,98.565,2.928853755
34.24,5,1477.34,2216.4,1688.16,1708.2,0.07,0.173,4.078,1.939,1.192,73.224,0.094,0.011,0.079,2.078,0.359,11.364,3.917,98.582,2.901338231
34.26,5,1477.34,2216.4,1688.16,1708.2,0.07,0.181,3.876,1.823,1.379,72.932,0.051,0.063,0.113,2.337,0.395,11.438,3.908,98.563,2.926497515
34.28,5,1477.34,2216.4,1688.16,1708.2,0.08,0.2,3.601,1.866,1.306,72.287,0.137,0.101,0.099,2.283,0.468,12.037,3.911,98.379,3.077969649
34.3,5,1477.34,2216.4,1688.16,1708.2,0.07,0.173,3.421,1.683,1.117,73,0.089,0.027,0.039,2.186,0.401,12.36,4.043,98.61,3.056861259
34.32,5,1480.47,2217.15,1688.99,1709.24,0.08,0.165,3.29,1.553,1.089,73.521,0.083,0.099,0.063,1.918,0.368,11.999,4.017,98.251,2.987294469
34.34,5,1483.6,2217.91,1689.75,1710.28,0.07,0.147,3.248,1.56,1.055,73.256,0.099,0.09,0.08,1.9,0.35,12.338,3.909,98.103,3.156778591
34.36,5,1486.72,2219.65,1690.59,1711.32,0.09,0.151,3.277,1.606,1.308,73.835,0.108,0.052,0.088,1.958,0.298,12.074,3.779,98.622,3.195096774
34.38,5,1489.48,2221.38,1691.39,1712.36,0.06,0.153,3.17,1.515,1.464,72.208,0.107,0.227,0.017,1.97,0.43,13.066,3.926,98.314,3.327709611
34.4,5,1490.53,2222.44,1692.3,1713.4,0.06,0.175,3.065,1.448,1.413,72.153,0.112,0.17,0.091,1.866,0.404,13.023,4.16,98.138,3.130510154
34.42,5,1491.58,2223.1,1693.24,1714.44,0.08,0.152,3.087,1.391,1.235,71.355,0.078,0.248,0.092,2.185,0.445,13.826,4.064,98.239,3.402015381
34.44,5,1492.81,2223.88,1693.84,1715.48,0.06,0.127,2.597,1.391,1.354,72.276,0.061,0.235,0.088,2.037,0.447,13.618,4.194,98.482,3.247097426
34.46,5,1495.41,2225.05,1694.64,1716.51,0.05,0.12,2.421,1.347,1.436,71.702,0.068,0.144,0.048,1.883,0.466,14.512,4.251,98.446,3.413740458
34.48,5,1497.38,2226.21,1695.69,1717.55,0.06,0.126,2.281,1.264,1.392,72.042,0.13,0.173,0.033,2.02,0.479,13.93,4.132,98.063,3.371635611
34.5,5,1499.07,2227.38,1696.62,1718.59,0.08,0.122,2.38,1.324,1.415,72.455,0.09,0.118,0.053,1.813,0.435,13.886,4.049,98.224,3.429722006
34.52,5,1501.76,2228.55,1697.31,1719.63,0.07,0.121,2.454,1.201,1.381,72.826,0.076,0.09,0,1.853,0.232,13.894,4.146,98.347,3.351330798
34.54,5,1504.45,2230.23,1698.18,1720.67,0.07,0.149,2.294,1.104,1.53,72.586,0.063,0.166,0.032,1.874,0.437,13.988,4.073,98.365,3.434256927
34.56,5,1506.17,2231.83,1699.01,1721.71,0.07,0.145,2.239,1.212,1.67,73.305,0.005,0.14,0.216,1.882,0.382,13.358,3.934,98.556,3.395704764
34.58,5,1507.76,2233.42,1700.01,1722.75,0.05,0.141,2.29,1.09,1.513,73.223,0.085,0.152,0.135,1.746,0.317,13.456,3.944,98.138,3.411970075
34.6,5,1509.61,2235.02,1700.91,1723.79,0.06,0.135,2.362,1.097,1.556,72.836,0.089,0.161,0.01,1.728,0.322,13.731,3.966,98.055,3.461894954
34.62,5,1512.32,2236.61,1701.74,1724.83,0.02,0.146,2.066,1.058,1.704,72.068,0.072,0.258,0.008,1.857,0.296,14.277,4.193,98.026,3.40505689
34.64,5,1515.14,2238.21,1702.8,1725.86,0.07,0.112,2.062,1.159,1.874,72.962,0.108,0.262,0.092,1.729,0.374,13.64,3.904,98.348,3.493602866
34.66,5,1517.63,2239.81,1703.74,1726.9,0.06,0.11,2.016,1.028,1.808,73.116,0.071,0.198,0.131,1.686,0.33,13.988,4.131,98.677,3.385881766
34.68,5,1520.26,2241.4,1704.42,1727.94,0.09,0.102,2.05,1.08,1.836,73.798,0.041,0.136,0.1,1.634,0.353,13.475,3.851,98.546,3.499218343
34.7,5,1522.23,2243,1704.98,1728.98,0.06,0.113,2.069,1.1,1.824,73.703,0.025,0.243,0.096,1.583,0.452,13.146,3.855,98.271,3.409852463
34.72,5,1524.64,2244.6,1705.84,1730.02,0.05,0.116,2.149,1.111,1.793,73.384,0.041,0.266,0.036,1.706,0.342,13.476,3.951,98.423,3.410840932
34.74,5,1527.13,2246.19,1706.71,1731.06,0.06,0.102,2.307,1.136,1.694,73.304,0.062,0.164,0.01,1.642,0.327,13.605,4.063,98.474,3.348300355
34.76,5,1529.22,2247.79,1707.49,1732.1,0.07,0.107,2.224,1.108,1.768,73.109,0.094,0.066,0.083,1.582,0.418,13.843,4.201,98.668,3.295471604
34.78,5,1531.65,2249.39,1708.33,1733.14,0.1,0.11,2.144,1.131,1.728,72.568,0.035,0.211,0.161,1.612,0.357,14.147,4.19,98.489,3.376014664
34.8,5,1533.5,2250.98,1709.14,1734.17,0.06,0.094,2.069,1.063,1.923,72.537,0.04,0.222,0.079,1.98,0.264,13.804,4.124,98.262,3.346996649
34.82,5,1534.98,2252.58,1710.01,1735.21,0.06,0.118,1.97,1.082,1.892,73.676,0.116,0.3,0.095,1.764,0.284,13.106,3.855,98.324,3.399418451
34.84,5,1537.22,2254.17,1711.05,1736.25,0.07,0.112,2.02,1.043,1.849,73.344,0.104,0.252,0.099,1.752,0.368,13.395,4.08,98.49,3.283107404
34.86,5,1538.77,2255.77,1711.89,1737.29,0.06,0.088,1.989,1.044,1.928,72.491,0.056,0.135,0.041,1.802,0.357,14.264,4.074,98.332,3.501193951
34.88,5,1541.96,2258.21,1712.56,1738.33,0.03,0.106,1.938,1.007,2.033,74.032,0.026,0.133,0.098,1.666,0.402,13.248,3.932,98.653,3.369428422
34.9,5,1545.16,2261.58,1713.39,1739.37,0.05,0.119,2.026,1.002,2.152,74.242,0.015,0.25,0,1.488,0.387,12.898,3.943,98.567,3.271246819
34.92,5,1547.8,2264.96,1714.03,1740.41,0.04,0.108,1.865,1.068,2.238,73.725,0.097,0.243,0.092,1.494,0.327,13.152,3.927,98.373,3.349308047
34.94,5,1549.8,2268.33,1714.84,1741.45,0.05,0.112,1.944,0.948,2.201,73.748,0.08,0.213,0.058,1.52,0.535,12.923,3.934,98.263,3.284917617
34.96,5,1550.67,2271.7,1715.72,1742.48,0.07,0.097,1.95,1.006,2.115,74.789,0.095,0.054,0.098,1.573,0.436,12.544,3.745,98.573,3.350076492
34.98,5,1551.81,2275.07,1716.67,1743.52,0.05,0.097,1.841,0.988,2.358,74.258,0.045,0.061,0.058,1.455,0.384,13.052,3.885,98.534,3.359784284
35,5,1552.96,2278.44,1717.67,1744.56,0.05,0.085,1.865,0.982,2.35,73.228,0.136,0.183,0.146,1.707,0.395,13.319,3.819,98.262,3.48726031
35.02,5,1554.52,2281.54,1718.42,1745.6,0.07,0.098,1.94,1.096,2.559,73.768,0.08,0.21,0.041,1.546,0.363,12.934,3.717,98.422,3.479374494
35.04,5,1556.17,2284.64,1719.14,1746.64,0.06,0.118,2.056,1.136,2.575,73.837,0.098,0.171,0.022,1.583,0.302,12.909,3.755,98.628,3.438199254
35.06,5,1557.31,2287.75,1720.09,1747.68,0.04,0.088,2.05,1.028,2.116,73.874,0.021,0.172,0.073,1.604,0.376,13.367,3.887,98.701,3.439298796
35.08,5,1558.72,2290.1,1720.94,1748.72,0.05,0.088,1.939,1.127,1.995,73.99,0.04,0.218,0.122,1.652,0.358,13.077,3.959,98.616,3.303092257
35.1,5,1562.28,2292.1,1721.53,1749.76,0.07,0.106,1.889,1.118,2.15,74.319,0.079,0.15,0.056,1.521,0.392,12.905,3.971,98.73,3.2495005
35.12,5,1564.51,2293.41,1722.53,1750.79,0.06,0.088,1.88,1.117,2.084,74.911,0.068,0.211,0.016,1.453,0.203,12.596,3.766,98.454,3.344791936
35.14,5,1566.27,2294.58,1723.24,1751.83,0.06,0.116,1.89,1.066,1.946,74.338,0.037,0.196,0.099,1.39,0.378,12.782,3.817,98.111,3.34833204
35.16,5,1567.93,2295.75,1723.89,1752.87,0.07,0.096,1.903,1.221,1.771,74.235,0.088,0.153,0,1.41,0.439,13.232,3.791,98.408,3.490457516
35.18,5,1568.86,2296.92,1724.85,1753.91,0.08,0.103,1.901,1.15,1.878,74.172,0.038,0.208,0,1.639,0.381,12.914,3.788,98.258,3.409031923
35.2,5,1571.29,2298.09,1725.75,1754.95,0.08,0.115,2.043,1.127,1.921,73.976,0.055,0.179,0.03,1.533,0.452,13.193,3.765,98.471,3.504514073
35.22,5,1573.65,2299.26,1726.8,1755.99,0.05,0.093,2.106,1.278,1.708,73.62,0.059,0.163,0.077,1.579,0.485,13.46,3.861,98.542,3.486032074
35.24,5,1575.36,2300.43,1727.86,1757.03,0.06,0.125,2.005,1.431,1.62,74.021,0.069,0.265,0.066,1.613,0.539,13.043,3.787,98.646,3.444058745
35.26,5,1576.12,2301.43,1728.66,1758.07,0.1,0.129,2.061,1.314,1.678,73.209,0.052,0.194,0.104,1.693,0.405,13.465,4.027,98.43,3.343814433
35.28,5,1577.7,2302.32,1729.55,1759.11,0.08,0.115,2.063,1.408,1.617,73.096,0.082,0.114,0.167,1.582,0.318,13.687,4.069,98.399,3.363566091
35.3,5,1578.72,2303.21,1730.59,1760.14,0.08,0.117,2.053,1.319,1.6,73.533,0.076,0.15,0.077,1.602,0.531,13.198,4.015,98.351,3.28681178
35.32,5,1580.88,2304.11,1731.28,1761.18,0.05,0.114,2.271,1.326,1.557,72.681,0.085,0.18,0.083,1.574,0.366,14.198,3.909,98.395,3.631593111
35.34,5,1582.91,2305,1732.17,1762.22,0.1,0.099,2.166,1.599,1.564,73.248,0.069,0.164,0.026,1.637,0.501,13.432,4.013,98.614,3.347255056
35.36,5,1584.26,2305.89,1733.37,1763.26,0.07,0.145,2.142,1.466,1.397,73.495,0.037,0.257,0.033,1.706,0.41,13.571,3.944,98.673,3.441324503
35.38,5,1585.45,2306.78,1734.09,1764.3,0.07,0.079,2.202,1.411,1.34,73.376,0.041,0.177,0.101,1.629,0.327,13.898,3.929,98.581,3.537455734
35.4,5,1586.78,2307.67,1735.55,1765.34,0.1,0.132,2.272,1.559,1.237,71.843,0.12,0.211,0,1.663,0.479,14.354,4.17,98.136,3.442540854
35.42,5,1588.72,2308.57,1736.66,1766.38,0.08,0.111,2.179,1.503,1.214,71.159,0.133,0.225,0.089,1.754,0.416,15.043,4.174,98.083,3.604177825
35.44,5,1590.96,2309.46,1737.18,1767.42,0.12,0.125,2.202,1.469,1.196,71.988,0.1,0.254,0.028,1.786,0.466,14.6,4.203,98.538,3.473958333
35.46,5,1593.24,2310.35,1738.04,1768.45,0.06,0.129,2.198,1.53,1.251,72.17,0.104,0.206,0.087,1.701,0.434,14.514,4.006,98.389,3.623172713
35.48,5,1593.83,2311.24,1739.07,1769.49,0.1,0.115,2.184,1.551,1.119,72.262,0.131,0.211,0.108,1.67,0.482,14.25,4.318,98.503,3.300198807
35.5,5,1595.26,2312.13,1739.74,1770.53,0.1,0.117,2.191,1.489,1.016,71.958,0.143,0.165,0.042,1.51,0.423,14.797,4.214,98.167,3.511163032
35.52,5,1597.02,2313.03,1740.61,1771.57,0.09,0.124,2.18,1.424,1.099,72.047,0.035,0.275,0.166,1.636,0.459,14.697,4.175,98.411,3.519864088
35.54,5,1597.75,2313.92,1741.31,1772.61,0.06,0.091,2.208,1.474,0.998,70.793,0.129,0.175,0.019,1.692,0.485,15.196,4.466,97.79,3.402463054
35.56,5,1599.12,2314.81,1742.53,1773.65,0.09,0.115,2.381,1.384,1.087,70.907,0.071,0.207,0.156,1.83,0.459,15.302,4.385,98.372,3.489270386
35.58,5,1599.56,2315.7,1743.4,1774.69,0.05,0.137,2.148,1.335,1.329,70.705,0.161,0.12,0.05,1.838,0.433,15.486,4.399,98.195,3.520541082
35.6,5,1601.47,2316.67,1744.3,1775.73,0.06,0.13,2.219,1.553,1.348,69.902,0.066,0.085,0,1.896,0.49,15.987,4.493,98.23,3.558545092
35.62,5,1604.38,2318.37,1745.37,1776.76,0.06,0.116,2.088,1.503,1.368,69.82,0.094,0.161,0.112,2.043,0.454,15.849,4.524,98.188,3.503271263
35.64,5,1606.3,2320.08,1746.51,1777.8,0.05,0.139,2.358,1.451,1.257,69.446,0.114,0.185,0.09,1.852,0.51,16.322,4.602,98.377,3.54686704
35.66,5,1607.93,2321.78,1747.42,1778.84,0.07,0.124,2.393,1.451,1.32,69.643,0.071,0.17,0.015,1.976,0.469,16.021,4.499,98.218,3.560805577
35.68,5,1608.92,2323.49,1748.17,1779.88,0.04,0.095,2.208,1.356,1.269,69.885,0.136,0.172,0.051,1.84,0.428,16.107,4.526,98.115,3.559106261
35.7,5,1610.43,2325.19,1749.04,1780.92,0.05,0.104,2.211,1.392,1.277,68.806,0.117,0.078,0.273,2.036,0.513,16.767,4.666,98.293,3.593267527
35.72,5,1612.06,2326.9,1750.05,1781.96,0.06,0.095,2.198,1.311,1.249,68.335,0.062,0.209,0,2.125,0.65,16.814,4.98,98.086,3.376613886
35.74,5,1612.6,2328.61,1751.4,1783,0.07,0.098,2.206,1.329,1.174,68.443,0.133,0.071,0.036,2.092,0.54,17.192,4.602,97.987,3.736074961
35.76,5,1614,2330.31,1752.34,1784.04,0.05,0.122,2.239,1.27,1.134,68.877,0.162,0.226,0.119,1.936,0.49,16.595,4.7,97.917,3.530678688
35.78,5,1615.2,2332.02,1753.56,1785.08,0.06,0.149,2.274,1.39,1.144,69.495,0.084,0.108,0.122,1.899,0.628,16.473,4.503,98.327,3.657887942
35.8,5,1615.92,2333.72,1754.95,1786.11,0.05,0.09,2.244,1.36,1.279,69.259,0.066,0.219,0.058,1.835,0.454,16.491,4.705,98.109,3.5047053
35.82,5,1616.82,2335.43,1756.15,1787.15,0.07,0.097,2.175,1.251,1.384,69.427,0.158,0.019,0.13,1.782,0.48,16.177,4.621,97.769,3.500639223
35.84,5,1617.76,2337.13,1757.2,1788.19,0.06,0.106,2.177,1.299,1.258,69.064,0.078,0.117,0,2.105,0.571,16.317,4.709,97.858,3.465475616
35.86,5,1618.71,2338.84,1758.3,1789.23,0.06,0.122,2.381,1.244,1.297,67.928,0.165,0.162,0.233,2.529,0.593,16.438,4.781,97.933,3.437849162
35.88,5,1619.83,2340.55,1759.36,1790.27,0.08,0.116,2.324,1.321,1.442,68.932,0.135,0.17,0.111,2.409,0.512,16.154,4.545,98.251,3.55432645
35.9,5,1620.36,2342.25,1760.76,1791.31,0.08,0.16,2.138,1.394,1.31,69.337,0.169,0.183,0.065,1.934,0.501,15.902,4.607,97.783,3.451797191
35.92,5,1621.02,2343.96,1762.29,1792.35,0.07,0.116,2.172,1.359,1.343,69.629,0.062,0.162,0.144,2.028,0.403,16.252,4.453,98.194,3.649537513
35.94,5,1621.56,2345.66,1763.44,1793.39,0.05,0.133,2.082,1.27,1.27,70.314,0.109,0.106,0,1.853,0.527,15.762,4.432,97.91,3.556129032
35.96,5,1622.13,2347.37,1764.32,1794.42,0.05,0.132,2.248,1.413,1.233,70.262,0.143,0.22,0.01,1.738,0.599,15.964,4.452,98.463,3.585717903
35.98,5,1623.56,2349.08,1765.12,1795.46,0.08,0.113,2.279,1.338,1.222,69.643,0.116,0.043,0.162,1.843,0.451,16.153,4.634,98.075,3.485945809
36,5,1624.42,2350.78,1766.09,1796.5,0.06,0.13,2.167,1.437,1.099,69.918,0.081,0.043,0.045,1.839,0.451,16.553,4.56,98.377,3.630429129
36.02,5,1625.39,2352.49,1767.19,1797.54,0.08,0.135,2.268,1.387,1.741,68.868,0.197,0.135,0.069,1.913,0.526,16.368,4.575,98.26,3.577316948
36.04,5,1626.17,2354.05,1767.92,1798.58,0.08,0.111,2.26,1.388,2.089,68.342,0.148,0.09,0.016,1.781,0.446,16.471,4.644,97.865,3.546878949
36.06,5,1627.19,2355.53,1769.22,1799.62,0.07,0.123,2.269,1.409,2.395,68.205,0.167,0.157,0.144,1.983,0.545,16.125,4.714,98.303,3.420460108
36.08,5,1627.94,2357.01,1769.93,1800.66,0.08,0.121,2.166,1.365,1.891,69.381,0.109,0.137,0.073,2.002,0.607,15.75,4.53,98.208,3.476804763
36.1,5,1628.2,2358.49,1770.79,1801.7,0.07,0.14,2.165,1.425,1.529,70.047,0.047,0.247,0.058,1.929,0.454,15.681,4.601,98.395,3.408163265
36.12,5,1628.82,2359.97,1771.77,1802.73,0.07,0.153,2.291,1.383,1.401,70.496,0.058,0.204,0.051,2.011,0.382,15.263,4.552,98.317,3.353159851
36.14,5,1629.83,2361.45,1772.7,1803.77,0.04,0.14,2.498,1.321,1.25,68.808,0.179,0.076,0.146,2.215,0.533,16.153,4.751,98.112,3.399950836
36.16,5,1630.93,2362.92,1773.62,1804.81,0.04,0.151,2.52,1.444,1.203,68.383,0.045,0.179,0,2.292,0.374,16.818,4.59,98.044,3.663755459
36.18,5,1631.67,2364.4,1774.71,1805.85,0.05,0.112,2.555,1.504,1.091,68.826,0.124,0.168,0.086,2.126,0.579,16.186,4.614,98.021,3.50798005
36.2,5,1633.31,2366.99,1775.55,1806.89,0.07,0.141,2.474,1.482,1.147,69.279,0.123,0.134,0.069,1.958,0.621,15.95,4.62,98.068,3.452618758
36.22,5,1635.01,2369.67,1776.52,1807.93,0.04,0.136,2.554,1.504,1.226,70.653,0.153,0.032,0.062,1.936,0.33,15.159,4.4,98.189,3.445242815
36.24,5,1636.08,2372.36,1777.49,1808.97,0.07,0.156,2.665,1.564,1.266,70.256,0.11,0.108,0.122,2.05,0.393,15.195,4.469,98.421,3.399900398
36.26,5,1637.24,2374.75,1778.79,1810.01,0.05,0.1,2.423,1.454,1.268,70.207,0.107,0.151,0.016,1.955,0.445,15.577,4.281,98.03,3.638513514
36.28,5,1637.77,2376.91,1779.84,1811.04,0.05,0.143,2.61,1.407,1.245,69.927,0.112,0.04,0.098,1.971,0.5,15.538,4.388,98.033,3.540662651
36.3,5,1638.91,2379.07,1781,1812.08,0.07,0.15,2.616,1.443,1.219,69.532,0.141,0.11,0.013,2.214,0.551,15.533,4.544,98.136,3.418129358
36.32,5,1640.04,2381.24,1781.86,1813.12,0.08,0.123,2.518,1.449,1.045,70.57,0.16,0,0.046,1.988,0.46,15.443,4.44,98.32,3.478411911
36.34,5,1641.24,2383.4,1782.94,1814.16,0.09,0.131,2.439,1.496,1.064,70.476,0.125,0.103,0.046,1.992,0.468,15.223,4.469,98.127,3.406150062
36.36,5,1642.33,2385.56,1784.14,1815.2,0.09,0.138,2.519,1.641,1.162,71.099,0.089,0.216,0.071,1.869,0.446,14.725,4.393,98.453,3.352153809
36.38,5,1643.38,2387.73,1785.14,1816.24,0.06,0.142,2.499,1.611,1.128,70.586,0.07,0.072,0.097,1.894,0.446,15.375,4.186,98.162,3.673421668
36.4,5,1644.33,2389.89,1786.08,1817.28,0.11,0.148,2.467,1.583,1.245,70.008,0.113,0.066,0.038,1.868,0.465,15.536,4.466,98.107,3.478696742
36.42,5,1644.74,2392.05,1786.99,1818.32,0.08,0.109,2.455,1.355,1.262,70.109,0.12,0.106,0.058,1.949,0.435,15.365,4.317,97.721,3.559037353
36.44,5,1645.92,2394.22,1787.84,1819.36,0.08,0.154,2.553,1.474,1.242,70.467,0.085,0.133,0.144,2.111,0.494,14.689,4.314,97.94,3.405176705
36.46,5,1647.15,2396.01,1788.79,1820.39,0.08,0.174,2.506,1.365,1.113,70.837,0.095,0.209,0.043,2.188,0.385,14.702,4.289,97.99,3.427603513
36.48,5,1648.67,2398.05,1789.91,1821.43,0.04,0.147,2.541,1.346,1.217,71.363,0.052,0.168,0.219,2.577,0.469,13.991,4.195,98.327,3.335277707
36.5,5,1649.58,2400.38,1790.86,1822.47,0.11,0.162,2.512,1.36,1.126,70.661,0.063,0.195,0.152,2.441,0.422,14.787,4.38,98.367,3.376035197
36.52,5,1649.74,2402.71,1791.95,1823.51,0.08,0.125,2.555,1.325,1.022,70.657,0.111,0.111,0,2.227,0.523,14.995,4.508,98.24,3.32613724
36.54,5,1649.98,2405.04,1793.01,1824.55,0.09,0.156,2.392,1.282,1.034,71.723,0.05,0.05,0.087,1.923,0.416,14.581,4.375,98.16,3.332896461
36.56,5,1650.9,2407.08,1793.99,1825.59,0.09,0.137,2.437,1.356,1.063,71.384,0.181,0.177,0.013,2.101,0.45,14.455,4.586,98.426,3.152157456
36.58,5,1652.03,2408.33,1794.84,1826.63,0.05,0.083,2.619,1.327,1.027,71.506,0.034,0.164,0.021,2.577,0.351,14.076,4.215,98.046,3.339612629
36.6,5,1653.72,2409.59,1795.71,1827.67,0.07,0.126,2.352,1.293,1.137,72.622,0.091,0.109,0.106,2.175,0.341,13.385,4.157,97.962,3.219885774
36.62,5,1655.22,2410.85,1796.56,1828.7,0.07,0.14,2.152,1.193,1.063,72.313,0.097,0.117,0.111,2.077,0.407,14.116,4.206,98.065,3.356330954
36.64,5,1656.15,2412.8,1797.45,1829.74,0.07,0.148,2.003,1.194,0.964,71.47,0.027,0.04,0.063,2.102,0.412,15.224,4.539,98.259,3.354482404
36.66,5,1656.8,2415.16,1798.29,1830.78,0.08,0.117,2.149,1.225,1.051,70.561,0.043,0,0,2.186,0.426,15.804,4.703,98.35,3.360425863
36.68,5,1657.44,2417.52,1798.97,1831.82,0.07,0.13,2.208,1.426,1.097,68.803,0.04,0.176,0.07,2.153,0.46,16.714,4.798,98.141,3.483795086
36.7,5,1658.72,2419.89,1799.83,1832.86,0.06,0.128,2.414,1.396,1.165,68.944,0.088,0.155,0,2.104,0.51,16.483,4.693,98.143,3.511991658
36.72,5,1659.41,2422.25,1800.73,1833.9,0.09,0.173,2.458,1.3,1.127,68.566,0.102,0.114,0.092,2.251,0.315,16.478,4.895,97.957,3.366599799
36.74,5,1660.09,2424.82,1801.61,1834.94,0.07,0.137,2.411,1.493,1.256,68.849,0.113,0.134,0.025,2.204,0.42,16.157,4.69,97.96,3.445175994
36.76,5,1660.78,2428.11,1802.33,1835.98,0.08,0.128,2.263,1.354,1.104,70.252,0.081,0.127,0.146,2.027,0.356,15.802,4.479,98.198,3.528139656
36.78,5,1661.46,2431.06,1802.99,1837.01,0.08,0.125,2.289,1.446,1.147,68.832,0.078,0.167,0.061,2.058,0.617,16.286,4.82,98.006,3.37875347
36.8,5,1662.14,2433.92,1803.66,1838.05,0.08,0.102,2.191,1.388,1.087,69.27,0.098,0.256,0.081,2.075,0.352,16.531,4.74,98.247,3.487464461
36.82,5,1662.88,2436.78,1804.37,1839.09,0.07,0.124,2.11,1.309,1.24,69.667,0.106,0.158,0.194,1.937,0.339,15.995,4.722,97.968,3.387571749
36.84,5,1663.5,2439.63,1805.32,1840.13,0.07,0.095,2.261,1.435,1.418,70.579,0.147,0.066,0.024,2.078,0.503,14.962,4.388,98.027,3.409961686
36.86,5,1664.36,2442.49,1806.16,1841.17,0.06,0.1,2.311,1.482,1.297,70.825,0.142,0.065,0.188,1.916,0.589,15.092,4.239,98.308,3.56017562
36.88,5,1664.97,2445.34,1806.95,1842.21,0.08,0.14,2.331,1.479,1.293,70.278,0.179,0.127,0.108,1.849,0.568,15.432,4.212,98.075,3.663667637
36.9,5,1665.68,2447.95,1807.66,1843.25,0.09,0.128,2.623,1.698,1.182,70.13,0.099,0.177,0,2.034,0.469,15.178,4.391,98.196,3.456171735
36.92,5,1674.37,2451.46,1815.61,1851.18,0.06,0.12,2.565,1.503,1.118,71.006,0.064,0.094,0.221,1.907,0.379,14.901,4.353,98.288,3.423304976
36.94,5,1682.36,2454.73,1823.25,1859.12,0.06,0.125,2.41,1.533,1.12,71.06,0.064,0.07,0.104,2.014,0.528,14.748,4.313,98.155,3.419147844
36.96,5,1688.55,2458,1831.36,1867.05,0.07,0.121,2.517,1.665,1.054,71.199,0.041,0.145,0,2.059,0.473,14.61,4.452,98.411,3.28159204
36.98,5,1697.83,2462.29,1839.6,1874.98,0.08,0.11,2.517,1.615,1.194,71.868,0.074,0.231,0.058,1.91,0.51,14.003,4.263,98.428,3.285132383
37,5,1707.89,2468.38,1847.95,1882.92,0.04,0.133,2.45,1.633,1.163,72.599,0.036,0.122,0.167,1.746,0.48,13.814,4.002,98.383,3.451656708
37.02,5,1717.79,2474.47,1857.08,1890.85,0.06,0.111,2.256,1.648,1.206,72.212,0,0.076,0.096,1.722,0.509,13.976,4.29,98.16,3.257654385
37.04,5,1727.57,2480.55,1864.86,1898.78,0.07,0.107,2.416,1.719,1.19,72.295,0.128,0.133,0,1.841,0.533,13.765,4.103,98.302,3.354535398
37.06,5,1736.07,2486.64,1873.19,1906.72,0.07,0.112,2.395,1.726,1.257,71.156,0.118,0.099,0.045,2.021,0.549,14.188,4.352,98.081,3.26012966
37.08,5,1744.42,2492.72,1881.9,1914.65,0.06,0.129,2.357,1.621,1.272,71.512,0,0.148,0.057,1.97,0.488,14.317,4.5,98.434,3.181745821
37.1,5,1750.66,2498.81,1889.9,1922.59,0.06,0.118,2.589,1.889,1.227,71.897,0.106,0.148,0,1.801,0.543,13.634,4.135,98.146,3.29725229
37.12,5,1756.42,2504.9,1898.11,1930.52,0.06,0.129,2.476,1.823,1.297,72.665,0.066,0.006,0.053,1.898,0.575,13.164,4.252,98.459,3.096052632
37.14,5,1764.54,2510.17,1906.21,1938.45,0.06,0.113,2.394,1.755,1.329,73.043,0.109,0.123,0.077,2.041,0.477,12.673,4.179,98.372,3.032513878
37.16,5,1774.45,2514.65,1913.76,1946.39,0.07,0.099,2.487,1.939,1.523,72.231,0.121,0.058,0.11,2.073,0.548,13.025,4.082,98.369,3.190691489
37.18,5,1780.26,2519.13,1921.83,1954.32,0.08,0.114,2.554,1.888,1.5,72.21,0.074,0.164,0.033,1.806,0.627,13.141,4.185,98.376,3.139770605
37.2,5,1786.22,2523.6,1930.15,1962.25,0.04,0.117,2.459,1.897,1.514,71.968,0.158,0.141,0.099,1.798,0.46,13.429,4.285,98.369,3.133610606
37.22,5,1795.24,2528.08,1938.46,1970.19,0.08,0.105,2.496,1.94,1.455,71.983,0.121,0.163,0.022,1.857,0.536,13.448,4.138,98.343,3.250134916
37.24,5,1801.61,2532.34,1947.01,1978.12,0.08,0.128,2.577,1.921,1.406,71.85,0.205,0.111,0.036,2,0.555,13.21,4.17,98.248,3.168047021
37.26,5,1809.91,2536.72,1955.82,1986.06,0.08,0.104,2.673,2.052,1.227,72.064,0.043,0.141,0.128,1.922,0.693,13.077,4.183,98.391,3.125914316
