18,ART-09B-2015,ETH-69692,"62° 10' 50.59""","58° 51' 40.66""",27,Laternula sp.shell,3.4,5895 ± 70,5550–5280,68.3,5660–5080,95.4,5400,5390 ± 280,Shell in till; max. glacial readvance age,,,18-ART-09B-2015,5895,70,MAR20,R_Date 18-ART-09B-2015,5550,5280,68.3,5660,5080,95.4,5390,140,5400,R_Date 18-ART-09B-2015,5520,5240,68.268949,5610,5050,95.449974,5360,140,5370,,98,,,99.5,,,,,,,,,,,,,,,,
19,ART-10A-2015,ETH-69693,"62° 10' 49.04""","58° 51' 34.88""",28,Laternula sp.shell,0.9,6235 ± 70,5890–5620,68.3,6020–5480,95.4,5760,5760 ± 260,Shell in till; max. glacial readvance age,,,19-ART-10A-2015,6235,70,MAR20,R_Date 19-ART-10A-2015,5890,5620,68.3,6020,5480,95.4,5760,130,5760,R_Date 19-ART-10A-2015,5860,5590,68.268949,5990,5460,95.449974,5730,130,5720,,98.9,,,99.4,,,,,,,,,,,,,,,,
20,ART-10B-2015,ETH-69694,"62° 10' 49.04""","58° 51' 34.88""",28,Laternula sp.shell,-1.2,5925 ± 70,5560–5300,68.3,5700–5130,95.4,5430,5420 ± 260,Shell in till; max. glacial readvance age,,,20-ART-10B-2015,5925,70,MAR20,R_Date 20-ART-10B-2015,5560,5300,68.3,5700,5130,95.4,5420,130,5430,R_Date 20-ART-10B-2015,5540,5280,68.268949,5650,5090,95.449974,5390,130,5400,,98.7,,,99.3,,,,,,,,,,,,,,,,
21,ART-10C-2015,ETH-69695,"62° 10' 49.04""","58° 51' 34.88""",28,Laternula sp.shell,-2.8,6520 ± 75,6200–5930,68.3,6330–5780,95.4,6070,6070 ± 260,Shell in till; max. glacial readvance age,,,21-ART-10C-2015,6520,75,MAR20,R_Date 21-ART-10C-2015,6200,5930,68.3,6330,5780,95.4,6070,130,6070,R_Date 21-ART-10C-2015,6180,5910,68.268949,6290,5750,95.449974,6040,130,6040,,98.3,,,99.5,,,,,,,,,,,,,,,,
22,ART-04A-2015,ETH-69684,"62° 10' 23.69""","58° 54' 59.09""",42,Laternula sp.shell,-1.4,>44300 ± 4430,45510–45040,68.3,45730–44830,95.4,45280,45280 ± 460,Shell in fine silty/sand thrust-up marine sediments,,>,22-ART-04A-2015,44300,4430,MAR20,R_Date 22-ART-04A-2015,45510,45040,68.268949,45730,44830,95.449974,45280,230,45280,R_Date 22-ART-04A-2015,45470,45010,68.268949,45710,44800,95.449974,45250,220,45250,,99.9,,,99.2,,,,,,,,,,,,,,,,
23,ART-04B-2015,ETH-69685,"62° 10' 23.69""","58° 54' 59.09""",42,Laternula sp.shell,2.8,>43700 ± 4370,44970–44580,68.3,45210–44430,95.4,44790,44800 ± 400,Shell in fine silty/sand thrust-up marine sediments,,>,23-ART-04B-2015,43700,4370,MAR20,R_Date 23-ART-04B-2015,44970,44580,68.268949,45210,44430,95.449974,44800,200,44790,R_Date 23-ART-04B-2015,44950,44560,68.268949,45180,44410,95.449974,44780,190,44760,,100.6,,,99.2,,,,,,,,,,,,,,,,
24,ART-05A-2015,ETH-69686,"62° 10' 24.55""","58° 54' 59.05""",42,Laternula sp.shell,2.8,>48500 ± 4850,50090–49170,68.3,50800–48710,95.4,49690,49720 ± 1120,Shell in fine silty/sand thrust-up marine sediments,,>,24-ART-05A-2015,48500,4850,MAR20,R_Date 24-ART-05A-2015,50090,49170,68.268949,50800,48710,95.449974,49720,560,49690,R_Date 24-ART-05A-2015,50040,49130,68.268949,"50720
50670","50690
48700","0.176225
95.273749",49670,550,49640,,100.7,,,96.7,,,,,,,,,,,,,,,,
25,ART-05B-2015,ETH-69687,"62° 10' 24.55""","58° 54' 59.05""",42,Laternula sp.shell,-,>51700 ± 5170,51900–51490,68.3,52120–51300,95.4,51700,51700 ± 400,Shell in fine silty/sand thrust-up marine sediments,,>,25-ART-05B-2015,51700,5170,MAR20,R_Date 25-ART-05B-2015,51900,51490,68.268949,52120,51300,95.449974,51700,200,51700,R_Date 25-ART-05B-2015,52850,52640,68.268949,52850,52380,95.449974,52680,140,52710,,0.4,,,99.5,,,,,,,,,,,,,,,,
26,K1-M [0–0.5 cm],Beta-501582,"62° 11' 36.55""","58° 57' 59.93""",15,Drepanocladus l. sp. AM,-27.4,-100 ± 30,-6 – -7,68.3,-5 – -7,95.4,-6,-6 ± 1,Aquatic moss living in lake; collected 2011 CE,,,26-K1-M [0–0.5 cm],−100,30,SH20_PBZ1-2,,-6.1,-6.9,,-5.2,-7.5,,-6.3,0.6,-6.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,K2-M [4.5-5 cm],Beta-516809,"62° 11' 36.55""","58° 57' 59.93""",15,Drepanocladus l. sp. AM,-29.3,-130 ± 30,-6 – -7,68.3,-6 – -7,95.4,-7,-7 ± 1,Aquatic moss living in lake; collected 2011 CE,,,27-K2-M [4.5-5 cm],−130,30,SH20_PBZ1-2,,-6.2,-7.0,,-6.1,-7.5,,-6.8,0.6,-6.8,DR=700±100 applied to all bulk ages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,K3-BS [5-6 cm]*,Beta-516810,"62° 11' 36.55""","58° 57' 59.93""",15,Bulk lake sediment,-18.4,1350 ± 30*,650–460,68.3,750–370,95.4,560,560 ± 180,Orange-brown silt; old carbon LRE= 700±100 yrs,,,28-K3-BS [5-6 cm]*,1350,30,SH20,R_Date 28-K3-BS [5-6 cm]*,"1280
1250
1220","1260
1230
1170","18.669178
12.977384
36.622387",1290,1170,95.449974,1230,40,1230, R_Date 28-K3-BS [5-6 cm]*,650,460,68.3,750,370,95.4,560,90,560,,,,,,Modelled data are Lake reservoir effect (LRE) = 700±100 applied to all sediment bulk ages,,,,,,,,,,,,,,,
29,K4-BS [9–10 cm]*,Beta-504801,"62° 11' 36.55""","58° 57' 59.93""",15,Bulk lake sediment,-23.9,1600 ± 30*,910–700,68.3,1010–600,95.4,800,800 ± 200,Orange-brown silt; old carbon LRE= 700±100 yrs,,,29-K4-BS [9–10 cm]*,1600,30,SH20,R_Date 29-K4-BS [9‚Äì10 cm]*,"1520
1390","1400
1380","64.975328
3.293621",1530,1370,95.449974,1450,40,1450, R_Date 29-K4-BS [9–10 cm]*,910,700,68.3,1010,600,95.4,800,100,800,,,,,,,,,,,,,,,,,,,,,
30,K5-BS [20–21 cm]*,Beta-497408,"62° 11' 36.55""","58° 57' 59.93""",15,Bulk lake sediment,-32.6,9380 ± 30*,10030–9790,68.3,10130–9660,95.4,9910,9900 ± 240,Grey silt-clay; old carbon >>LRE= 700±100 yrs,,,30-K5-BS [20–21 cm]*,9380,30,SH20,R_Date 30-K5-BS [20‚Äì21 cm]*,"10650
10590","10620
10500","9.3269
58.942049","10690
10470","10480
10420","87.676601
7.773373",10550,60,10550, R_Date 30-K5-BS [20–21 cm]*,10030,9790,68.3,10130,9660,95.4,9900,120,9910,,,,,,,,,,,,,,,,,,,,,
31,K6-BS [36.5–37 cm],Beta-501584,"62° 11' 36.55""","58° 57' 59.93""",15,Bulk lake sediment,-18.0,1860 ± 30,1820–1770,27.8,1830–1690,90.6,1750,1750 ± 100,Orange-brown silt; Low carbon AMS micro-sample,,,31-K6-BS [36.5–37 cm],1860,30,SH20,R_Date 31-K6-BS [36.5‚Äì37 cm],1820,1770,27.814938,1830,1690,90.576259,1750,50,1750, R_Date 31-K6-BS [36.5–37 cm],1190,980,68.3,1280,870,95.4,1080,100,1080,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,1750–1700,40.5,1650–1620,4.9,,,,,,,,,,,1750,1700,40.454011,1650,1620,4.873715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,K7-BS [45.5–46 cm],Beta-501585,"62° 11' 36.55""","58° 57' 59.93""",15,Bulk lake sediment,-17.7,3350 ± 30,3570–3480,68.3,3680–3670,1.0,3530,3530 ± 100,Orange-brown silt; Low carbon AMS micro-sample,,,32-K7-BS [45.5–46 cm],3350,30,SH20,R_Date 32-K7-BS [45.5‚Äì46 cm],3570,3480,68.268949,3680,3670,0.982329,3530,50,3530, R_Date 32-K7-BS [45.5–46 cm],2980,2750,68.3,3100,2650,95.4,2870,110,2870,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,–,–,3640–3450,94.5,,,,,,,,,,,,,,3640,3450,94.467645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,K8-BS [73.5–74.5 cm],Beta-498331,"62° 11' 36.55""","58° 57' 59.93""",15,Bulk lake sediment,-18.0,6410 ± 30,7420–7390,9.1,7430–7240,85.5,7300,7300 ± 120,Bulk orange-brown silt; 𝛿13C value=terrestrial,,,33-K8-BS [73.5–74.5 cm],6410,30,SH20,R_Date 33-K8-BS [73.5‚Äì74.5 cm],7420,7390,9.099938,7430,7240,85.46405,7300,60,7300, R_Date 33-K8-BS [73.5–74.5 cm],6650,6410,68.3,6760,6300,95.4,6530,110,6530,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7330–7250,29.2,7210–7170,10.0,,,,,,,,,,,7330,7250,29.169011,7210,7170,9.985914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
