Core_Section,Sample_ID,Description,Folk_Ward_grain_size_definition,Folk_Ward_sorting_definition,Field_depth_cm,Depth_cm,min_calibrated_age_BP_cal_a_BP,max_calibrated_age_BP_cal_a_BP,median_calibrated_age_BP_cal_a_BP,mean_calibrated_age_BP_cal_a_BP,acc_rate_cm_yr-1,Sampling_date,2 ml_mass_g,2 ml_wet sediment_g,Wet_sediment_volume_cm-3,2 ml_freeze-dried_sediment_g,wet_mass_g,dry_mass_g,wet_density_gcm-3,dry_density_gcm-3,water_pc_pc,dry_mass_pc,core_thickness_cm,PWAmp,PWVel_ms-1,Wet_gamma_ray_density_SAT_gcm-3,MS_SIx10-5 ,χhf_Wet_Den_SAT_x10^-8_SI_m3kg-1,Impedance_SAT,Fractional_Porosity_SAT,RES_Ohm.m,WMAR_gcm-2yr-1,DMAR_gcm-2yr-1
KITE2.1,KITE2.1_3,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Coarse Silt,Very Poorly Sorted,2,7,157.69,278.97,226.76,223.5,0.00432,13/08/2018,1.11442,3.5429,1.75,2.6232,2.42848,1.509,1.388,0.862,37.871,62.129,1.975,0.002,576.717,1.686,253.65,150.383,973.444,0.608,1.6,0.007288236,0.004528077
KITE2.1,KITE2.1_4,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Coarse Silt,Poorly Sorted,3,8,321.34,563.24,458.15,451.74,0.00432,13/08/2018,1.02526,3.9767,2,2.8999,2.95144,1.875,1.476,0.937,36.484,63.516,2,0.002,411.566,1.691,439.95,260.14,696.991,0.605,1.343,0.007304968,0.004639832
KITE2.1,KITE2.1_5,Orange-brown silt/clay lake mud with fine black ash layers dispersed,NA,NA,4,9,484.76,847.33,689.65,679.99,0.01939,13/08/2018,1.1112,3.8905,2,2.9269,2.7793,1.816,1.39,0.908,34.671,65.329,2.005,0.002,540.279,1.712,506.425,295.762,924.433,0.593,1.253,0.033200989,0.021690007
KITE2.1,KITE2.1_6,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Coarse Silt,Very Poorly Sorted,5,10,617.71,879.07,741.22,742.04,0.03862,13/08/2018,1.02965,3.8761,2,2.8913,2.84645,1.862,1.423,0.931,34.597,65.403,1.985,0.002,682.787,1.654,525.725,318.087,1130.056,0.626,1.276,0.063880842,0.04177968
KITE2.1,KITE2.1_7,Orange-brown silt/clay lake mud with fine black ash layers dispersed,NA,NA,6,11,666.82,901.7,767.11,773.06,0,13/08/2018,1.11353,3.5033,1.75,2.6353,2.38977,1.522,1.366,0.87,36.321,63.679,1.903,0.002,579.302,1.595,542.125,339.903,925.957,0.66,1.292,0,0
KITE2.1,KITE2.1_8,Orange-brown silt/clay lake mud with fine black ash layers dispersed,Very Fine Sand,Very poorly to poorly Sorted,7,12,666.82,901.7,767.11,773.06,0.01808,13/08/2018,1.11804,2.7304,1.25,2.1463,1.61236,1.028,1.29,0.823,36.226,63.774,1.74,0.005,817.247,1.663,377.8,228.433,1362.36,0.621,1.298,0.030064636,0.0191733
KITE2.1,KITE2.1_9,Dark grey brown mud (oxidised light grey LIA unit in photos),Very Coarse Silt - fine sand,Very poorly to poorly Sorted,8,13,719.93,975.41,822.42,828.9,0.01827,13/08/2018,1.11335,2.5494,1.25,2.0578,1.43605,0.944,1.149,0.756,34.233,65.767,1.644,0.017,1329.653,1.716,484.625,281.904,2280.767,0.591,1.31,0.031364675,0.020627671
KITE2.1,KITE2.1_10,Dark grey brown mud (oxidised light grey LIA unit in photos),Very Fine Sand,Very Poorly Sorted,9,14,755.14,1065.41,877.14,885.86,0.01994,13/08/2018,1.11042,2.1039,0.75,1.7693,0.99348,0.659,1.325,0.879,33.68,66.32,1.627,0.012,1307.518,1.746,737.3,422.301,2283.912,0.574,1.355,0.03480612,0.023083561
KITE2.1,KITE2.1_11,Dark grey brown mud (oxidised light grey LIA unit in photos),Very Coarse Silt - fine sand,Very Poorly Sorted,10,15,784.75,1121.32,927.3,935.2,0.02158,13/08/2018,1.11245,2.5162,1,2.0467,1.40375,0.934,1.404,0.934,33.446,66.554,1.636,0.019,1447.025,1.771,730.25,412.235,2563.269,0.559,1.286,0.038234945,0.025446837
KITE2.1,KITE2.1_12,Dark grey brown mud (oxidised light grey LIA unit in photos),Fine Sand,Very Poorly Sorted,11,16,805.01,1214.19,973.63,984.54,0.02264,13/08/2018,1.11096,2.0224,0.75,1.729,0.91144,0.618,1.215,0.824,32.191,67.809,1.663,0.014,1454.226,1.781,749.325,420.75,2590.054,0.554,1.251,0.040329484,0.027347093
KITE2.1,KITE2.1_13,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Very Poorly Sorted,12,17,831.42,1304.23,1017.79,1031.67,0.01977,13/08/2018,1.11393,1.748,0.5,1.5444,0.63407,0.43,1.268,0.861,32.11,67.89,1.698,0.038,1388.609,1.823,672.525,369.039,2530.795,0.53,1.334,0.036049041,0.024473687
KITE2.1,KITE2.1_14,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Very poorly to Poorly Sorted,13,18,861.81,1336.92,1068.36,1075.49,0.02216,13/08/2018,1.11342,2.8663,1.25,2.2902,1.75288,1.177,1.402,0.941,32.866,67.134,1.733,0.062,1307.629,1.803,463.925,257.469,2355.578,0.541,1.374,0.039944604,0.026816446
KITE2.1,KITE2.1_15,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Coarse Silt - fine sand,Very poorly to Poorly Sorted,14,19,882.14,1383.47,1113.49,1119.32,0.0225,13/08/2018,1.11608,2.3965,0.75,1.9412,1.28042,0.825,1.707,1.1,35.559,64.441,1.76,0.26,1384.058,1.783,724.925,406.512,2468.112,0.552,1.428,0.040117548,0.025852291
KITE2.1,KITE2.1_16,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Coarse Silt,Poorly Sorted,15,20,912.89,1431.63,1157.94,1163.1,0.02139,13/08/2018,1.11586,2.9219,1.25,2.3315,1.80604,1.216,1.445,0.973,32.69,67.31,1.769,0.168,1478.48,1.8,608.775,338.553,2660.98,0.543,1.437,0.038500214,0.025914376
KITE2.1,KITE2.1_17,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Very Poorly Sorted,16,21,958.7,1472.29,1204.68,1206.84,0.02284,13/08/2018,1.02877,2.8443,1,2.2557,1.81553,1.227,1.816,1.227,32.42,67.58,1.729,0.149,1466.825,1.778,478.775,269.132,2608.179,0.555,1.452,0.040610299,0.027444324
KITE2.1,KITE2.1_18,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Poorly Sorted,17,22,988,1535.64,1248.47,1250.57,0.02424,13/08/2018,1.11137,3.775,1.75,2.9202,2.66363,1.809,1.522,1.034,32.092,67.908,1.656,0.347,1407.806,1.825,546.75,299.62,2568.657,0.529,1.54,0.04422443,0.030032128
KITE2.1,KITE2.1_19,Pale orange-brown silt/clay lake mud with fine black ash laminated,NA,NA,18,23,1027.37,1590.55,1289.73,1293.89,0.02322,13/08/2018,1.02467,3.5863,1.75,2.73,2.56163,1.705,1.464,0.974,33.428,66.572,1.615,0.277,1430.782,1.818,555.6,305.647,2602.054,0.532,1.614,0.042227706,0.028111856
KITE2.1,KITE2.1_20,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Poorly Sorted,19,24,1083.45,1627.09,1332.79,1336.6,0.02378,13/08/2018,1.11028,3.9432,2,2.9503,2.83292,1.84,1.416,0.92,35.049,64.951,1.581,0.227,1418.69,1.812,618.925,341.396,2571.533,0.536,1.552,0.043096908,0.027992027
KITE2.1,KITE2.1_21,Pale orange-brown silt/clay lake mud with fine black ash laminated,NA,NA,20,25,1112.7,1670.66,1374.84,1379.31,0.02154,13/08/2018,1.11284,2.903,1.25,2.313,1.79016,1.2,1.432,0.96,32.958,67.042,1.564,0.153,1432.259,1.844,585.925,317.659,2641.069,0.518,1.537,0.03971624,0.026626582
KITE2.1,KITE2.1_22,Pale orange-brown silt/clay lake mud with fine black ash laminated,Fine Sand,Poorly Sorted,21,26,1151.85,1720.38,1421.27,1422.99,0.02219,13/08/2018,1.11201,4.2039,2,3.2205,3.09189,2.108,1.546,1.054,31.806,68.194,1.575,0.099,1380.266,1.878,545.475,290.745,2591.343,0.498,1.513,0.04167055,0.028416903
KITE2.1,KITE2.1_23,Pale orange-brown silt/clay lake mud with fine black ash laminated,NA,NA,22,27,1207.3,1756.59,1466.33,1468.15,0.02149,13/08/2018,1.02232,3.1723,1.5,2.4984,2.14998,1.476,1.433,0.984,31.344,68.656,1.605,0.1,1326.61,1.912,478.35,250.133,2536.844,0.479,1.675,0.041098216,0.028216195
KITE2.1,KITE2.1_24,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Poorly Sorted,23,28,1246.58,1814.06,1512.86,1513.3,0.02279,13/08/2018,1.11325,4.4248,2,3.4182,3.31155,2.305,1.656,1.152,30.397,69.603,1.631,0.209,1332.064,1.912,461.5,241.385,2546.921,0.479,1.962,0.043573382,0.030328537
KITE2.1,KITE2.1_25,Pale orange-brown silt/clay lake mud with fine black ash laminated,NA,NA,24,29,1287.02,1854.05,1556.74,1557.04,0.02501,13/08/2018,1.11433,3.6309,1.75,2.8163,2.51657,1.702,1.438,0.973,32.369,67.631,1.644,0.249,1374.802,1.902,430.6,226.691,2614.778,0.484,2.326,0.047568142,0.032170594
KITE2.1,KITE2.1_26,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Poorly Sorted,25,30,1349.56,1894.62,1596.73,1598.68,0.02284,13/08/2018,1.02903,3.651,1.75,2.7386,2.62197,1.71,1.498,0.977,34.798,65.202,1.615,0.311,1388.349,1.84,616.2,335.51,2554.378,0.52,2.679,0.042013017,0.027393217
KITE2.1,KITE2.1_27,Pale orange-brown silt/clay lake mud with fine black ash laminated,NA,NA,26,31,1391.63,1952.98,1640.52,1640.31,0.02317,13/08/2018,1.11576,3.8815,1.75,2.864,2.76574,1.748,1.58,0.999,36.789,63.211,1.509,0.242,1471.817,1.843,736.25,399.784,2713.728,0.518,2.016,0.042695783,0.026988248
KITE1.1,KITE1.1_4,orange-brown silt/clay lake mud ,NA,NA,26.5,31.5,1413.57,1975.01,1662.1,1661.13,0.04769,13/08/2018,1.11055,3.5921,1.75,2.7129,2.48155,1.602,1.418,0.916,35.429,64.571,1.486,0.103,1498.004,1.871,643.025,344.084,2802.825,0.502,1.547,0.08922866,0.057615419
KITE1.1,KITE1.1_5,orange-brown silt/clay lake mud ,Very Coarse Silt,Very Poorly Sorted,27.5,32.5,1469.3,1983.98,1683.07,1686.35,0,13/08/2018,1.11512,3.8905,2,2.9644,2.77538,1.849,1.388,0.925,33.368,66.632,1.487,0.25,1475.031,1.937,461,238.244,2857.989,0.465,1.433,0,0
KITE1.1,KITE1.1_6,dark grey fine reworked black ash,NA,NA,28.5,33.5,1469.3,1983.98,1683.07,1686.35,0.11261,13/08/2018,1.02933,4.0949,2,3.3118,3.06557,2.282,1.533,1.141,25.545,74.455,1.473,0.186,1404.808,1.881,460.625,245.145,2647.594,0.496,1.382,0.211852477,0.157734752
KITE1.1,KITE1.1_7,black ash layer,Very Coarse Silt,Very Poorly Sorted,29.5,34.5,1492.15,1985.94,1691.95,1696.87,0.02074,13/08/2018,1.1115,2.3785,1,1.9978,1.267,0.886,1.267,0.886,30.047,69.953,1.416,0.031,1358.639,1.846,454.25,246.009,2508.111,0.517,1.416,0.038283551,0.026780356
KITE1.1,KITE1.1_8,banded light and dark orange brown silty clay lake mud,NA,NA,30.5,35.5,1595.38,2049.05,1740.16,1749.51,0.01858,13/08/2018,1.03381,2.5006,1.25,1.9849,1.46679,0.951,1.173,0.761,35.158,64.842,1.382,0.036,1629.322,1.901,453.95,239.003,3098.502,0.485,1.51,0.03533544,0.022912062
KITE1.1,KITE1.1_9,banded light and dark orange brown silty clay lake mud,Very Fine Sand,Very Poorly Sorted,31.5,36.5,1651.53,2119.38,1793.97,1802.15,0.0039,13/08/2018,1.03365,2.5314,1.25,2.03147,1.49775,0.998,1.198,0.798,33.379,66.621,1.375,0.161,1593.735,1.924,483.25,251.149,3065.932,0.472,1.446,0.007500682,0.004997049
KITE1.1,KITE1.1_10,banded light and dark orange brown silty clay lake mud,NA,NA,32.5,37.5,1855.06,2342.6,2050.43,2054.3,0.00234,13/08/2018,1.11578,3.4903,1.75,2.6776,2.37452,1.562,1.357,0.892,34.226,65.774,1.374,0.086,1629.814,1.938,610.15,314.979,3158.83,0.464,1.462,0.004533658,0.002981975
KITE1.1,KITE1.1_11,banded light and dark orange brown silty clay lake mud,Fine Sand,Very Poorly Sorted,33.5,38.5,1962.22,2729.21,2477.96,2439.46,0.00245,13/08/2018,1.02877,3.9457,2,3.114,2.91693,2.085,1.458,1.043,28.513,71.487,1.364,0.106,1621.452,1.922,264.3,137.901,3115.986,0.473,1.373,0.004700149,0.003360003
KITE1.1,KITE1.1_12,banded light and dark orange brown silty clay lake mud,NA,NA,34.5,39.5,2040.87,3266.31,2886.83,2824.61,0.00375,13/08/2018,1.0923,2.5007,1,2.0647,1.4084,0.972,1.408,0.972,30.957,69.043,1.334,0.122,1367.507,1.933,662.775,342.54,2642.514,0.467,1.321,0.007242833,0.005000661
KITE1.1,KITE1.1_13,banded light and dark orange brown silty clay lake mud,Fine Sand,Very Poorly Sorted,35.5,40.5,2394.64,3507.26,3153.68,3097.78,0.00576,13/08/2018,1.11316,3.8697,2,2.9593,2.75654,1.846,1.378,0.923,33.027,66.973,1.309,0.047,1713.201,1.959,656.35,334.953,3357.12,0.452,1.401,0.0112842,0.007557378
KITE1.1,KITE1.1_14,banded light and dark orange brown silty clay lake mud,NA,NA,36.5,41.5,2911.44,3543.85,3327.29,3296.28,0.00543,13/08/2018,1.02072,2.7368,1.25,2.1766,1.71608,1.156,1.373,0.925,32.644,67.356,1.307,0.027,1372.75,1.984,667.925,336.614,2722.698,0.438,1.584,0.01078063,0.007261383
KITE1.1,KITE1.1_15,banded light and dark orange brown silty clay lake mud,NA,NA,37.5,42.5,3259,3637.62,3511.34,3494.78,0.01224,13/08/2018,1.02409,3.4705,1.75,2.7485,2.44641,1.724,1.398,0.985,29.513,70.487,1.321,0.04,1518.983,1.988,707.85,355.85,3019.003,0.435,1.61,0.024328276,0.017148361
KITE1.1,KITE1.1_16,banded light and dark orange brown silty clay lake mud,NA,NA,38.5,43.5,3382.74,3786.88,3593.07,3593.45,0.03601,13/08/2018,1.11285,3.6739,1.75,2.8835,2.56105,1.771,1.463,1.012,30.862,69.138,1.337,0.357,1188.014,1.992,888.025,445.811,2366.958,0.433,1.451,0.071740187,0.049599486
KITE1.1,KITE1.1_17,banded light and dark orange brown silty clay lake mud,NA,NA,39.5,44.5,3449.86,3818.56,3620.84,3625.54,0.03074,13/08/2018,1.02927,3.80809,1.75,2.9767,2.77882,1.947,1.588,1.113,29.919,70.081,1.346,0.443,1526.707,1.92,710.95,369.833,2928.746,0.474,1.367,0.059014756,0.04135824
KITE1.1,KITE1.1_18,fine black ash layer,NA,NA,40.5,45.5,3491.06,3855.23,3653.37,3657.64,0.01038,13/08/2018,1.02394,3.2692,1.5,2.5476,2.24526,1.524,1.497,1.016,32.139,67.861,1.345,0.062,1605.686,1.921,600.25,312.731,3084.364,0.474,1.393,0.019939284,0.013531034
KITE1.1,KITE1.1_19,dark brown orange silt clay,NA,NA,41.5,46.5,3573.78,3973.19,3749.72,3757.04,0.00691,13/08/2018,1.0248,2.9513,1.25,2.337,1.9265,1.312,1.541,1.05,31.887,68.113,1.349,0.075,1540.428,1.929,540.675,280.379,2971.3,0.469,1.539,0.013330512,0.009079833
KITE1.1,KITE1.1_20,dark brown orange silt clay,NA,NA,42.5,47.5,3615.46,4241.14,3894.45,3901.31,0.00777,13/08/2018,1.11147,3.993,2,3.0358,2.88153,1.924,1.441,0.962,33.218,66.782,1.353,0.097,1515.365,1.941,604.275,311.37,2941.777,0.462,1.534,0.01508762,0.010075745
KITE1.1,KITE1.1_21,light brown silt ,NA,NA,43.5,48.5,3643.54,4574.16,4023.13,4045.58,0.00671,13/08/2018,1.0614,2.8917,1.25,2.3761,1.8303,1.315,1.464,1.052,28.17,71.83,1.348,0.01,1274.88,1.917,672.175,350.622,2445.517,0.476,1.592,0.012855036,0.00923374
KITE1.1,KITE1.1_22,light brown silt ,NA,NA,44.5,49.5,3733.87,4767.09,4172.27,4198.4,0.00548,13/08/2018,1.0678,2.4598,1,2.0385,1.392,0.971,1.392,0.971,30.266,69.734,1.332,0.026,1541.103,1.927,790.075,409.923,2969.419,0.471,1.574,0.010561616,0.007365058
KITE1.1,KITE1.1_23,light brown silt ,NA,NA,45.5,50.5,3812.85,4922.48,4354.69,4356.93,0.00596,13/08/2018,1.0639,2.3833,1,1.978,1.3194,0.914,1.319,0.914,30.719,69.281,1.333,0.004,660.231,1.924,736.4,382.489,1267.283,0.472,1.542,0.01147043,0.007946885
KITE1.1,KITE1.1_24,light brown silt ,NA,NA,46.5,51.5,3870.55,5139.91,4522.43,4515.45,0.00649,13/08/2018,1.072,3.3122,1.5,2.5744,2.2402,1.502,1.493,1.002,32.935,67.065,1.34,0.003,901.147,1.888,628.9,333.152,1702.224,0.493,1.466,0.012258635,0.008221308
KITE1.1,KITE1.1_25,dark orange brown silt-clay ,NA,NA,47.5,52.5,4069.27,5270.4,4676.45,4674.37,0.00572,13/08/2018,1.0719,3.1228,1.5,2.3695,2.0509,1.298,1.367,0.865,36.73,63.27,1.371,0.005,905.102,1.882,481.325,255.858,1705.599,0.496,1.346,0.01076238,0.006809335
KITE1.1,KITE1.1_26,dark orange brown silt-clay ,NA,NA,48.5,53.5,4228.57,5342.01,4851.33,4833.56,0.0055,13/08/2018,1.0644,3.5539,1.75,2.7389,2.4895,1.675,1.423,0.957,32.737,67.263,1.439,0.039,1382.521,1.871,325.825,173.96,2587.049,0.502,1.365,0.010287505,0.006919633
KITE1.1,KITE1.1_27,lighter orange brown silt-clay,NA,NA,49.5,54.5,4321.85,5446.59,5033.24,4992.75,0.00674,13/08/2018,1.0643,3.1688,1.5,2.4683,2.1045,1.404,1.403,0.936,33.286,66.714,1.511,0.049,1408.022,1.846,318.2,172.449,2599.457,0.516,1.337,0.012444564,0.008302289
KITE1.1,KITE1.1_28,lighter orange brown silt-clay,NA,NA,50.5,55.5,4576.36,5533.02,5181.61,5152.15,0.00694,13/08/2018,1.0635,2.8549,1.25,2.2534,1.7914,1.19,1.433,0.952,33.577,66.423,1.562,0.079,1370.59,1.843,378.65,205.768,2526.55,0.518,1.274,0.012800674,0.00850258
KITE1.1,KITE1.1_29,lighter orange brown silt-clay,NA,NA,51.5,56.5,4958.74,5577.1,5325.62,5311.69,0.00667,13/08/2018,1.0934,3.6324,1.5,2.805,2.539,1.712,1.693,1.141,32.588,67.412,1.638,0.039,1409.068,1.807,507.275,280.751,2546.097,0.539,1.18,0.012054203,0.008126023
KITE1.1,KITE1.1_30,lighter orange brown silt-clay,NA,NA,52.5,57.5,5260.79,5630.65,5475.52,5471.24,0.00849,13/08/2018,1.0933,3.1259,1.25,2.5518,2.0326,1.459,1.626,1.167,28.245,71.755,1.724,0.025,1293.237,1.851,476.65,258.112,2389.876,0.514,1.127,0.015724813,0.011283401
KITE1.1,KITE1.1_31,lighter orange brown silt-clay,NA,NA,53.5,58.5,5449.36,5732.39,5593.24,5595.09,0,13/08/2018,1.062,4.4377,2,3.8221,3.3757,2.76,1.688,1.38,18.236,81.764,1.744,0.007,735.306,1.858,258.475,139.372,1369.849,0.51,1.216,0,0
KITE1.1,KITE1.1_32, fine light grey then dark drey ash layer,NA,NA,54.5,59.5,5449.36,5732.39,5593.24,5595.09,0,13/08/2018,1.0623,3.0959,1.25,2.6342,2.0336,1.572,1.627,1.258,22.704,77.296,1.721,0.001,349.885,1.793,392.675,219.071,627.733,0.547,1.414,0,0
KITE1.1,KITE1.1_33, fine light grey then dark drey ash layer,NA,NA,55.5,60.5,5449.36,5732.39,5593.24,5595.09,0,13/08/2018,1.057,3.2839,1.5,2.7684,2.2269,1.711,1.485,1.141,23.149,76.851,1.66,0.006,986.706,1.806,655.075,362.134,1786.234,0.54,1.307,0,0
KITE1.1,KITE1.1_34,light grey brown silt-clay,NA,NA,56.5,61.5,5449.36,5732.39,5593.24,5595.09,0,13/08/2018,1.0621,3.4213,1.5,2.8692,2.3592,1.807,1.573,1.205,23.402,76.598,1.614,0.104,1447.215,1.8,245.25,136.31,2604.327,0.543,1.155,0,0
KITE1.1,KITE1.1_35,light grey brown silt-clay,NA,NA,57.5,62.5,5449.36,5732.39,5593.24,5595.09,0,13/08/2018,1.0643,3.9319,1.75,3.1214,2.8676,2.057,1.639,1.175,28.264,71.736,1.569,0.112,1683.644,1.776,159.425,89.463,2988.291,0.557,0.985,0,0
KITE1.1,KITE1.1_36,light orange brown silt-clay,NA,NA,58.5,63.5,5449.36,5732.39,5593.24,5595.09,0.01109,13/08/2018,1.0639,4.1679,2,3.2012,3.104,2.137,1.552,1.069,31.144,68.856,1.547,0.022,1385.845,1.737,301.85,174.645,2405.756,0.579,0.855,0.019255543,0.013258657
KITE1.1,KITE1.1_37,light orange brown silt-clay,NA,NA,59.5,64.5,5539.84,5933.22,5683.44,5695.15,0.01258,13/08/2018,1.0679,2.1912,0.75,1.7717,1.1233,0.704,1.498,0.938,37.345,62.655,1.574,0.018,1096.806,1.725,588.6,341.469,1887.365,0.586,0.815,0.02168794,0.014
KITE1.1,KITE1.1_38,light grey brown silt-clay,NA,NA,60.5,65.5,5565.92,6178.83,5762.96,5795.21,0.00601,13/08/2018,1.0575,2.827,1.25,2.278,1.7695,1.221,1.416,0.976,31.026,68.974,1.631,0,121.377,1.741,395.075,226.851,211.803,0.577,0.909,0.010465557,0.007218543
KITE1.1,KITE1.1_39,light grey brown silt-clay,NA,NA,61.5,66.5,5671.48,6366.89,5929.32,5953.7,0.0044,13/08/2018,1.0585,4.0416,1.75,3.2213,2.9831,2.163,1.705,1.236,27.498,72.502,1.676,0.001,285.096,1.771,523.075,294.528,506.593,0.56,0.933,0.007790035,0.005647913
KITE1.1,KITE1.1_40,light grey brown silt-clay,NA,NA,62.5,67.5,5746.6,6555.29,6156.62,6151.15,0.00498,13/08/2018,1.068,4.4908,2,3.5992,3.4228,2.531,1.711,1.266,26.049,73.951,1.711,0,17.465,1.761,862.875,490.572,30.754,0.565,0.957,0.008773726,0.006488271
KITE1.1,KITE1.1_31,light grey brown silt-clay,NA,NA,63.5,68.5,5801.51,6864.76,6357.35,6348.6,0.00524,13/08/2018,1.0698,3.2514,1.25,2.667,2.1816,1.597,1.745,1.278,26.788,73.212,1.808,0,18.463,1.763,815.575,464.181,32.555,0.564,1.01,0.009244939,0.006768435
KITE1.1,KITE1.1_32,light grey brown silt-clay,NA,NA,64.5,69.5,6023.12,7055.02,6548.03,6543.09,0.00512,13/08/2018,1.0641,4.6685,2,3.9209,3.6044,2.857,1.802,1.428,20.741,79.259,1.885,0.001,174.565,1.835,398.175,217.272,320.824,0.523,1.141,0.009389261,0.007441805
