Core_Section,Core_depth,Field_depth,depth,min_calibrated_age,max_calibrated_age,median_calibrated_age,mean_calibrated_age,acc_rate,Dry_mass,Wet_density,Dry_density,DMAR,Tephra_shards/g,Luticola_cf_muicopsis,Surirella_sp.1,Naviciladicta_semiulum/obsoleta,Stauroneis_cf._acidoclinata,Planothidium_quadripunctatum,Planothidium_sp.1_,Plnothidium_sp._2,Planothidium_frequentisima?,Cavinula_pseudoscutformis,Muelleria_frenguelli,Pinnularia_cf._divergens_var._linearis,Navicula_cf._libonensis,Gomphonema_sp._2_(long_and_thin),Fatter_Gomphonema_(pavulum?),Gomphonema_sp3,Psammothidium_abundans_,"Smaller
Psammothidium_abundans_",Orthoseria_roseana,Navicula_gregaria,Amphora_oligotraphenta,achnanthes_exigua_,Hippodona_hungaric,Staurosirella_pinnata_,Pinnularia_borealis,Achnanthes_muelleri,Thinner_achnanthes,Hanztchia_amphioxys,Fragilaria_capucina_(both_long_and_short),Nitzchia_perminuta,"Nitzchia_gracilis_(longer,_more_bulbus_ends)",Nitzchia_inconspicua,Placoneis_cf._elginesis,Brachysira_minor,"Achnanthidium_minutissimum_(99,_5)",Calconeis_cf_bacillum_,Diatomella_balfouriana_,Naviciladicta_semiulum,avicula_cf._obsoleta?,Craticula_subpampeana,Diatom_cyst_Stauro_circula,Planothidium_delicatulum__®,Staurosira_cf_venter,Luticola_hilgeri,Luticola_cf_cohnii,Pinnularia_gemella,Nitzchia_tryblionella,Staurosirella_inermis,Opephora_martyi.,Nitzchia_paleacea,Pinnularia_sbantarctica_var._elongata,chamaepinnularia_gerlachei,stauroneis_cf._subgracilior,Navicula_cinta,Psammothidium_germainii,Stauoforma_intermedia_,Navicula_australoshetlandica,Incartae_sedis,Microcostatus_cf._naumanni,chamaepinnularia_australomediocris,Diatom_conc_x10-6,PCA_Axis_1,PCA_Axis_2,Cholorphyll-a,Diatom_DMAR,DCCA_Axis_1
,cm,cm,cm,cal_a_BP,cal_a_BP,cal_a_BP,cal_a_BP,cm_yr-1,pc,g_cm-3,g_cm-3,g_cm-2_yr-1,per_g,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,pc,g_cm-1,,,,g_cm-1_yr-1,
Kite_2.1,21,21,26,1159.35,1952.39,1444.73,1454.33,0.02327,66.38759052,1.545945,1.054245,0.024531588,563.07,0,0.21818,0.8727,0.9454,1.7454,0.2909,0,5.5272,6.9818,0,4,0.4362,5.8182,1.6,0,12.072,0.8727,0.9455,0.2181,0,1.5272,1.8909,13.9613,0.2909,2.4727,0,0,3.3454,0,0,0,0,2.618,5.236,1.1636,2.5263,0,1.4554,2.981,2.3727,1.8914,1.0182,0.2909,0,0.5818,0,0,0.5818,0.8723,0,0,0,0,0,0,0,0,0,0,3.36204,0.1544,-0.0571,2.42792,0.082476181,0.889
Kite_2.1,23,23,28,1271.23,2010.46,1529.81,1540.28,0.02384,67.11284712,1.655775,1.152475,0.027472586,658.86,0,0,0,1.1049,0.3683,0,0,2.2099,3.3149,0,11.0497,0,4.0516,1.1049,12.1546,3.3149,0,0.9208,0.3683,7.7338,3.3149,1.8416,10.8655,0,1.1049,0,0.3683,2.5782,0,0.1841,0,0,5.1564,1.8412,0.3683,5.7163,0.3683,1.1049,4.604,4.4198,1.4632,1.8416,0.3682,0,0.3683,0,0,0,1.1049,0,0,0,0,0,0,0,0,0,0,1.75035,1.5299,-0.4879,2.86851,0.048086642,1.5504
Kite_2.1,24,24,29,1322.83,2062.36,1570.98,1582.23,0.02475,64.98427757,1.43804,0.972554286,0.024067169,591.23,0,0,0.6083,1.0646,0.3042,0,0,2.7376,1.5209,0,4.1821,0,10.3422,0.9125,0,11.4068,0,0.3802,0,1.2167,4.1065,2.1298,12.9277,0.6083,1.5208,0,0.1521,3.7262,1.5209,0,0.3041,0,5.1711,2.8897,0,7.6,0.3042,3.346,2.8136,0,3.346,0.3042,0.7604,0,0,0,0,0.3041,2.1928,0,0,0,0,0,0,0,0,0,0,4.97467,0.3705,-0.3607,2.43143,0.119726222,1.0043
Kite_2.1,25,25,30,1372.08,2119.04,1607.25,1622.64,0.02475,63.78387821,1.498268571,0.976897143,0.024180622,844.21,0,0,0.3284077,0.7112,1.3136,0,0,3.7767,0.821,0,3.2841,0,7.0608,2.1346,0,15.5993,0.6568,0.0821,0.1642,1.642,5.4187,1.4778,14.7783,0.9852,0.1642,0,0,7.6354,0,0,0.3284,0,10.6732,0,0,8.529,0,3.4482,1.4778,0.4926,3.4482,0,0.3284,0,0,0,0,0,1.1492,0,0,0,0,0,0,0,0,0,0,5.95632,0.3642,-0.5317,2.04615,0.144027525,0.9243
Kite_2.1,26,26,31,1400.09,2163.51,1650.93,1663.04,0.02195,53.10923471,1.580422857,0.998994286,0.021927004,10775.98,0,0,0,0.5835,0.2918,0,0,2.6528,0.5835,0,3.7929,0,3.7929,1.7505,0,6.2729,0.2918,0.073,0.2918,1.4588,4.5222,0.5835,16.4843,0,0.5835,0,0.2918,1.5776,0.2918,0,0,0,4.6681,0.8752,0.4376,31.2588,0.2918,2.0423,1.09409,2.0423,2.3341,0.8752,0,0.2918,0,0.2918,0,0,0.8752,0,0,0,0,0,0,0,0,0,0,3.76555,1.018,-0.8468,1.71822,0.082567229,1.4062
Kite_2.1,27,27,32,1464.71,2218.83,1691.91,1708.6,0,63.13229788,1.29275,0.82495,0,37927.53,0,0,0,0,0.2987,0,0,1.6721,0,0,0.9615,0.5917,1.0355,0,0,2.071,0.2959,0,0,0.2959,4.2899,0.2959,14.792,0,1.4793,0,0,0.5917,0,0,0.2985,0.5917,2.6672,0.8876,0.4438,54.2873,0,0.2959,1.92307,0.3698,0.5917,0.2958,0,0.5917,0,0,0,0,0.7395,0,0,0,0,0,0,0,0,0,0,5.31522,1.0629,-1.5304,2.91667,0,1.726
Kite_1.1,5,28.5,33.5,1464.71,2218.83,1691.91,1708.6,0.03128,73.93577296,1.532785,1.141235,0.035702644,26802.98,0,0.1379,0.8275,0.1379,2.6207,1.1034,0.2758,7.448,0.8275,0,0.6897,0.5517,0.6897,0,0,4.5517,0,0.2786,0.4138,1.1034,0.9655,6.0689,29.931,0.8275,3.4482,0,0.4138,1.1379,0.5517,0,0.5517,0.9655,4.8275,2.8965,0,0.2758,0,1.1034,1.1034,0.4138,2.6206,0,0,0.8275,0,0,0,0.5517,1.3793,0,0,0,0,0,0,0,0,0,0,7.05643,-0.5425,-0.475,3.78592,0.251933205,0.707
Kite_1.1,7,30.5,35.5,1612.8,2275.48,1743.77,1772.53,0.00659,63.71863985,1.173432,0.760872,0.005014479,423.33,0,0,1.1887,0.5943,2.971,0.2971,0,3.1204,8.6181,0,1.931,2.52,1.931,0.5943,0,16.939,1.1887,0.4457,0.594,0.3358,0.5941,5.4977,16.1961,1.1887,1.9316,0,0,0.8915,0.2971,0.7429,0.2971,0.4457,1.0401,3.5661,1.4588,2.3774,1.1887,0.8915,0.5943,1.7836,1.783,0,0,0.2971,0,0,0,0,3.1204,0.2971,0,0,0,0,0,0,0,0,0,24.5133,-0.2944,0.3883,6.86705,0.122921433,0.6652
Kite_1.1,9,32.5,37.5,1878.71,2498.01,2059.37,2076,0.00326,72.2812424,1.356868571,0.892468571,0.002907443,490.14,0,0.1442,1.4242,0.456,3.271,0.2849,0,4.9786,1.139,0,1.1379,1.2801,1.8492,0.2844,0,15.5049,0.568,0,0.7112,0.9957,2.8449,2.702,21.0526,0.8536,1.1379,2.2759,1.7069,1.7069,1.7068,0.8534,1.1379,0,3.9829,5.974,1.1379,1.4224,1.7069,1.1379,0,1.4224,1.7068,0,0,0,0,0.2844,0,0,2.1337,0,0,0,0,0,0,0,0,0,0,6.1966,-0.5692,0.4766,4.38847,0.018016259,0.5393
Kite_1.1,13,36.5,41.5,2960.61,3538.2,3325,3303.84,0.00686,71.43530313,1.372864,0.924704,0.006345541,732.01,0,0,0.57102,0.8565,0,0.571,0,6.4298,10.7066,0,3.1406,0,3.5688,1.4275,2.2841,5.5675,0.571,0.2855,0,1.4276,2.9978,1.5703,34.5467,0,2.8551,2.284,0.0714,0.571,0.2855,0.2855,0.2855,0,3.426,0,0.7138,1.7131,0.2855,1.8558,0.1427,3.1406,2.7123,0,0.1427,0,0.2855,0,0,1.4275,0.571,0,0,0.2855,0,0,0,0,0,0.2855,0,6.39864,0.6544,-0.5009,3.55748,0.040602834,1.1417
Kite_1.1,15,38.5,43.5,3410.48,3756.9,3598.31,3595.29,0.03295,68.68864469,1.463457143,1.0118,0.03334322,911.85,0,0,0,3.1173,0,0,0,1.8076,21.657,0,2.707,0,3.6095,0.3281,3.1173,5.2502,0,0.3281,0,2.9532,2.6251,0.8203,29.3683,0,0.9844,1.3125,0.164,0,0,0,0,0,0.3281,0,0.4922,13.7767,0,0.3281,0,1.9688,0.3281,1.4766,0,0,0,0,0,0.3281,0,0,0,0,0,0,0,0,0,0,0,2.97335,1.4285,-1.1301,6.33118,0.099141062,1.5401
