KITE_DMAR_GEOTEK,,,,,,,,SHCal20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Core,Sample ID Label,Visual Description,Folk and Ward method Grain size definition,Folk and Ward method sorting definition,Core Depth (cm),Field depth,Strat depth,depth,min,max,median,mean,acc rate (cm yr-1),Date sampled,2 ml mass (g),2 ml tube + wet sediment (g),Volume of wet sediment (cm-3),2 ml + FD sediment,Wet weight / g,Dry weight (freeze dry)   / g,Wet density / gcm-3,Dry density / g cm-3,% water content,% FD dry mass ,1 cm mean GEOTEK CT (core thickness),PWAmp,PWVel (m s-1),Wet gamma Den1_SAT (g cm-3),MS (x10-5 SI),χhf Den1_SAT Corr MS ( x 10^-8 SI) (m^3/kg),Impedance_SAT,Fractional Porosity_SAT,RES_SAT (Ohm.m),WMAR,DMAR,MOSS layer = 1            MOSS rich =2,"Clasts , tephra etc 1=present"
KITE2.1,KITE2.1_12,Dark grey brown mud (oxidised light grey LIA unit in photos),Fine Sand,Very Poorly Sorted,11,11,16,16,805.01,1214.19,973.63,984.54,0.02264,13/08/2018,1.11096,2.02240,0.75,1.72900,0.91144,0.618,1.215,0.824,32.191,67.809,1.663,0.014,1454.226,1.781,749.325,420.750,2590.054,0.554,1.251,0.040329484,0.027347093,,
KITE2.1,KITE2.1_13,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Very Poorly Sorted,12,12,17,17,831.42,1304.23,1017.79,1031.67,0.01977,13/08/2018,1.11393,1.74800,0.50,1.54440,0.63407,0.430,1.268,0.861,32.110,67.890,1.698,0.038,1388.609,1.823,672.525,369.039,2530.795,0.530,1.334,0.036049041,0.024473687,,
KITE2.1,KITE2.1_14,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Very poorly to Poorly Sorted,13,13,18,18,861.81,1336.92,1068.36,1075.49,0.02216,13/08/2018,1.11342,2.86630,1.25,2.29020,1.75288,1.177,1.402,0.941,32.866,67.134,1.733,0.062,1307.629,1.803,463.925,257.469,2355.578,0.541,1.374,0.039944604,0.026816446,,
KITE2.1,KITE2.1_15,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Coarse Silt - fine sand,Very poorly to Poorly Sorted,14,14,19,19,882.14,1383.47,1113.49,1119.32,0.02250,13/08/2018,1.11608,2.39650,0.75,1.94120,1.28042,0.825,1.707,1.100,35.559,64.441,1.760,0.260,1384.058,1.783,724.925,406.512,2468.112,0.552,1.428,0.040117548,0.025852291,,
KITE2.1,KITE2.1_16,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Coarse Silt,Poorly Sorted,15,15,20,20,912.89,1431.63,1157.94,1163.10,0.02139,13/08/2018,1.11586,2.92190,1.25,2.33150,1.80604,1.216,1.445,0.973,32.690,67.310,1.769,0.168,1478.480,1.800,608.775,338.553,2660.980,0.543,1.437,0.038500214,0.025914376,,
KITE2.1,KITE2.1_17,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Very Poorly Sorted,16,16,21,21,958.70,1472.29,1204.68,1206.84,0.02284,13/08/2018,1.02877,2.84430,1.00,2.25570,1.81553,1.227,1.816,1.227,32.420,67.580,1.729,0.149,1466.825,1.778,478.775,269.132,2608.179,0.555,1.452,0.040610299,0.027444324,,T
KITE2.1,KITE2.1_18,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Poorly Sorted,17,17,22,22,988.00,1535.64,1248.47,1250.57,0.02424,13/08/2018,1.11137,3.77500,1.75,2.92020,2.66363,1.809,1.522,1.034,32.092,67.908,1.656,0.347,1407.806,1.825,546.750,299.620,2568.657,0.529,1.540,0.04422443,0.030032128,,T
KITE2.1,KITE2.1_19,Pale orange-brown silt/clay lake mud with fine black ash laminated,,,18,18,23,23,1027.37,1590.55,1289.73,1293.89,0.02322,13/08/2018,1.02467,3.58630,1.75,2.73000,2.56163,1.705,1.464,0.974,33.428,66.572,1.615,0.277,1430.782,1.818,555.600,305.647,2602.054,0.532,1.614,0.042227706,0.028111856,,
KITE2.1,KITE2.1_20,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Poorly Sorted,19,19,24,24,1083.45,1627.09,1332.79,1336.60,0.02378,13/08/2018,1.11028,3.94320,2.00,2.95030,2.83292,1.840,1.416,0.920,35.049,64.951,1.581,0.227,1418.690,1.812,618.925,341.396,2571.533,0.536,1.552,0.043096908,0.027992027,,
KITE2.1,KITE2.1_21,Pale orange-brown silt/clay lake mud with fine black ash laminated,,,20,20,25,25,1112.70,1670.66,1374.84,1379.31,0.02154,13/08/2018,1.11284,2.90300,1.25,2.31300,1.79016,1.200,1.432,0.960,32.958,67.042,1.564,0.153,1432.259,1.844,585.925,317.659,2641.069,0.518,1.537,0.03971624,0.026626582,,
KITE2.1,KITE2.1_22,Pale orange-brown silt/clay lake mud with fine black ash laminated,Fine Sand,Poorly Sorted,21,21,26,26,1151.85,1720.38,1421.27,1422.99,0.02219,13/08/2018,1.11201,4.20390,2.00,3.22050,3.09189,2.108,1.546,1.054,31.806,68.194,1.575,0.099,1380.266,1.878,545.475,290.745,2591.343,0.498,1.513,0.04167055,0.028416903,,
KITE2.1,KITE2.1_23,Pale orange-brown silt/clay lake mud with fine black ash laminated,,,22,22,27,27,1207.30,1756.59,1466.33,1468.15,0.02149,13/08/2018,1.02232,3.17230,1.50,2.49840,2.14998,1.476,1.433,0.984,31.344,68.656,1.605,0.100,1326.610,1.912,478.350,250.133,2536.844,0.479,1.675,0.041098216,0.028216195,,
KITE2.1,KITE2.1_24,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Poorly Sorted,23,23,28,28,1246.58,1814.06,1512.86,1513.30,0.02279,13/08/2018,1.11325,4.42480,2.00,3.41820,3.31155,2.305,1.656,1.152,30.397,69.603,1.631,0.209,1332.064,1.912,461.500,241.385,2546.921,0.479,1.962,0.043573382,0.030328537,,clay layer 
KITE2.1,KITE2.1_25,Pale orange-brown silt/clay lake mud with fine black ash laminated,,,24,24,29,29,1287.02,1854.05,1556.74,1557.04,0.02501,13/08/2018,1.11433,3.63090,1.75,2.81630,2.51657,1.702,1.438,0.973,32.369,67.631,1.644,0.249,1374.802,1.902,430.600,226.691,2614.778,0.484,2.326,0.047568142,0.032170594,,
KITE2.1,KITE2.1_26,Pale orange-brown silt/clay lake mud with fine black ash laminated,Very Fine Sand,Poorly Sorted,25,25,30,30,1349.56,1894.62,1596.73,1598.68,0.02284,13/08/2018,1.02903,3.65100,1.75,2.73860,2.62197,1.710,1.498,0.977,34.798,65.202,1.615,0.311,1388.349,1.840,616.200,335.510,2554.378,0.520,2.679,0.042013017,0.027393217,,
KITE2.1,KITE2.1_27,Pale orange-brown silt/clay lake mud with fine black ash laminated,,,26,26,31,31,1391.63,1952.98,1640.52,1640.31,0.02317,13/08/2018,1.11576,3.88150,1.75,2.86400,2.76574,1.748,1.580,0.999,36.789,63.211,1.509,0.242,1471.817,1.843,736.250,399.784,2713.728,0.518,2.016,0.042695783,0.026988248,,
KITE1.1,KITE1.1_4,orange-brown silt/clay lake mud ,,,3,26.5,31.5,31.5,1413.57,1975.01,1662.10,1661.13,0.04769,13/08/2018,1.11055,3.59210,1.75,2.71290,2.48155,1.602,1.418,0.916,35.429,64.571,1.486,0.103,1498.004,1.871,643.025,344.084,2802.825,0.502,1.547,0.08922866,0.057615419,,T
KITE1.1,KITE1.1_5,orange-brown silt/clay lake mud ,Very Coarse Silt,Very Poorly Sorted,4,27.5,32.5,32.5,1469.30,1983.98,1683.07,1686.35,0.00000,13/08/2018,1.11512,3.89050,2.00,2.96440,2.77538,1.849,1.388,0.925,33.368,66.632,1.487,0.250,1475.031,1.937,461.000,238.244,2857.989,0.465,1.433,0,0,,
KITE1.1,KITE1.1_6,dark grey fine reworked black ash,,,5,28.5,33.5,33.5,1469.30,1983.98,1683.07,1686.35,0.11261,13/08/2018,1.02933,4.09490,2.00,3.31180,3.06557,2.282,1.533,1.141,25.545,74.455,1.473,0.186,1404.808,1.881,460.625,245.145,2647.594,0.496,1.382,0.211852477,0.157734752,,T
KITE1.1,KITE1.1_7,black ash layer,Very Coarse Silt,Very Poorly Sorted,6,29.5,34.5,34.5,1492.15,1985.94,1691.95,1696.87,0.02074,13/08/2018,1.11150,2.37850,1.00,1.99780,1.26700,0.886,1.267,0.886,30.047,69.953,1.416,0.031,1358.639,1.846,454.250,246.009,2508.111,0.517,1.416,0.038283551,0.026780356,,
KITE1.1,KITE1.1_8,banded light and dark orange brown silty clay lake mud,,,7,30.5,35.5,35.5,1595.38,2049.05,1740.16,1749.51,0.01858,13/08/2018,1.03381,2.50060,1.25,1.98490,1.46679,0.951,1.173,0.761,35.158,64.842,1.382,0.036,1629.322,1.901,453.950,239.003,3098.502,0.485,1.510,0.03533544,0.022912062,,
KITE1.1,KITE1.1_9,banded light and dark orange brown silty clay lake mud,Very Fine Sand,Very Poorly Sorted,8,31.5,36.5,36.5,1651.53,2119.38,1793.97,1802.15,0.00390,13/08/2018,1.03365,2.53140,1.25,2.03147,1.49775,0.998,1.198,0.798,33.379,66.621,1.375,0.161,1593.735,1.924,483.250,251.149,3065.932,0.472,1.446,0.007500682,0.004997049,,
KITE1.1,KITE1.1_10,banded light and dark orange brown silty clay lake mud,,,9,32.5,37.5,37.5,1855.06,2342.60,2050.43,2054.30,0.00234,13/08/2018,1.11578,3.49030,1.75,2.67760,2.37452,1.562,1.357,0.892,34.226,65.774,1.374,0.086,1629.814,1.938,610.150,314.979,3158.830,0.464,1.462,0.004533658,0.002981975,,
KITE1.1,KITE1.1_11,banded light and dark orange brown silty clay lake mud,Fine Sand,Very Poorly Sorted,10,33.5,38.5,38.5,1962.22,2729.21,2477.96,2439.46,0.00245,13/08/2018,1.02877,3.94570,2.00,3.11400,2.91693,2.085,1.458,1.043,28.513,71.487,1.364,0.106,1621.452,1.922,264.300,137.901,3115.986,0.473,1.373,0.004700149,0.003360003,,
KITE1.1,KITE1.1_12,banded light and dark orange brown silty clay lake mud,,,11,34.5,39.5,39.5,2040.87,3266.31,2886.83,2824.61,0.00375,13/08/2018,1.09230,2.50070,1.00,2.06470,1.40840,0.972,1.408,0.972,30.957,69.043,1.334,0.122,1367.507,1.933,662.775,342.540,2642.514,0.467,1.321,0.007242833,0.005000661,,
KITE1.1,KITE1.1_13,banded light and dark orange brown silty clay lake mud,Fine Sand,Very Poorly Sorted,12,35.5,40.5,40.5,2394.64,3507.26,3153.68,3097.78,0.00576,13/08/2018,1.11316,3.86970,2.00,2.95930,2.75654,1.846,1.378,0.923,33.027,66.973,1.309,0.047,1713.201,1.959,656.350,334.953,3357.120,0.452,1.401,0.0112842,0.007557378,,
KITE1.1,KITE1.1_14,banded light and dark orange brown silty clay lake mud,,,13,36.5,41.5,41.5,2911.44,3543.85,3327.29,3296.28,0.00543,13/08/2018,1.02072,2.73680,1.25,2.17660,1.71608,1.156,1.373,0.925,32.644,67.356,1.307,0.027,1372.750,1.984,667.925,336.614,2722.698,0.438,1.584,0.01078063,0.007261383,,
KITE1.1,KITE1.1_15,banded light and dark orange brown silty clay lake mud,,,14,37.5,42.5,42.5,3259.00,3637.62,3511.34,3494.78,0.01224,13/08/2018,1.02409,3.47050,1.75,2.74850,2.44641,1.724,1.398,0.985,29.513,70.487,1.321,0.040,1518.983,1.988,707.850,355.850,3019.003,0.435,1.610,0.024328276,0.017148361,,
KITE1.1,KITE1.1_16,banded light and dark orange brown silty clay lake mud,,,15,38.5,43.5,43.5,3382.74,3786.88,3593.07,3593.45,0.03601,13/08/2018,1.11285,3.67390,1.75,2.88350,2.56105,1.771,1.463,1.012,30.862,69.138,1.337,0.357,1188.014,1.992,888.025,445.811,2366.958,0.433,1.451,0.071740187,0.049599486,,
KITE1.1,KITE1.1_17,banded light and dark orange brown silty clay lake mud,,,16,39.5,44.5,44.5,3449.86,3818.56,3620.84,3625.54,0.03074,13/08/2018,1.02927,3.80809,1.75,2.97670,2.77882,1.947,1.588,1.113,29.919,70.081,1.346,0.443,1526.707,1.920,710.950,369.833,2928.746,0.474,1.367,0.059014756,0.04135824,,T
KITE1.1,KITE1.1_18,fine black ash layer,,,17,40.5,45.5,45.5,3491.06,3855.23,3653.37,3657.64,0.01038,13/08/2018,1.02394,3.26920,1.50,2.54760,2.24526,1.524,1.497,1.016,32.139,67.861,1.345,0.062,1605.686,1.921,600.250,312.731,3084.364,0.474,1.393,0.019939284,0.013531034,,T
KITE1.1,KITE1.1_19,dark brown orange silt clay,,,18,41.5,46.5,46.5,3573.78,3973.19,3749.72,3757.04,0.00691,13/08/2018,1.02480,2.95130,1.25,2.33700,1.92650,1.312,1.541,1.050,31.887,68.113,1.349,0.075,1540.428,1.929,540.675,280.379,2971.300,0.469,1.539,0.013330512,0.009079833,,
KITE1.1,KITE1.1_20,dark brown orange silt clay,,,19,42.5,47.5,47.5,3615.46,4241.14,3894.45,3901.31,0.00777,13/08/2018,1.11147,3.99300,2.00,3.03580,2.88153,1.924,1.441,0.962,33.218,66.782,1.353,0.097,1515.365,1.941,604.275,311.370,2941.777,0.462,1.534,0.01508762,0.010075745,,
KITE1.1,KITE1.1_21,light brown silt ,,,20,43.5,48.5,48.5,3643.54,4574.16,4023.13,4045.58,0.00671,13/08/2018,1.06140,2.89170,1.25,2.37610,1.83030,1.315,1.464,1.052,28.170,71.830,1.348,0.010,1274.880,1.917,672.175,350.622,2445.517,0.476,1.592,0.012855036,0.00923374,,
KITE1.1,KITE1.1_22,light brown silt ,,,21,44.5,49.5,49.5,3733.87,4767.09,4172.27,4198.40,0.00548,13/08/2018,1.06780,2.45980,1.00,2.03850,1.39200,0.971,1.392,0.971,30.266,69.734,1.332,0.026,1541.103,1.927,790.075,409.923,2969.419,0.471,1.574,0.010561616,0.007365058,,
KITE1.1,KITE1.1_23,light brown silt ,,,22,45.5,50.5,50.5,3812.85,4922.48,4354.69,4356.93,0.00596,13/08/2018,1.06390,2.38330,1.00,1.97800,1.31940,0.914,1.319,0.914,30.719,69.281,1.333,0.004,660.231,1.924,736.400,382.489,1267.283,0.472,1.542,0.01147043,0.007946885,,
KITE1.1,KITE1.1_24,light brown silt ,,,23,46.5,51.5,51.5,3870.55,5139.91,4522.43,4515.45,0.00649,13/08/2018,1.07200,3.31220,1.50,2.57440,2.24020,1.502,1.493,1.002,32.935,67.065,1.340,0.003,901.147,1.888,628.900,333.152,1702.224,0.493,1.466,0.012258635,0.008221308,,
KITE1.1,KITE1.1_25,dark orange brown silt-clay ,,,24,47.5,52.5,52.5,4069.27,5270.40,4676.45,4674.37,0.00572,13/08/2018,1.07190,3.12280,1.50,2.36950,2.05090,1.298,1.367,0.865,36.730,63.270,1.371,0.005,905.102,1.882,481.325,255.858,1705.599,0.496,1.346,0.01076238,0.006809335,,
KITE1.1,KITE1.1_26,dark orange brown silt-clay ,,,25,48.5,53.5,53.5,4228.57,5342.01,4851.33,4833.56,0.00550,13/08/2018,1.06440,3.55390,1.75,2.73890,2.48950,1.675,1.423,0.957,32.737,67.263,1.439,0.039,1382.521,1.871,325.825,173.960,2587.049,0.502,1.365,0.010287505,0.006919633,,
KITE1.1,KITE1.1_27,lighter orange brown silt-clay,,,26,49.5,54.5,54.5,4321.85,5446.59,5033.24,4992.75,0.00674,13/08/2018,1.06430,3.16880,1.50,2.46830,2.10450,1.404,1.403,0.936,33.286,66.714,1.511,0.049,1408.022,1.846,318.200,172.449,2599.457,0.516,1.337,0.012444564,0.008302289,,
KITE1.1,KITE1.1_28,lighter orange brown silt-clay,,,27,50.5,55.5,55.5,4576.36,5533.02,5181.61,5152.15,0.00694,13/08/2018,1.06350,2.85490,1.25,2.25340,1.79140,1.190,1.433,0.952,33.577,66.423,1.562,0.079,1370.590,1.843,378.650,205.768,2526.550,0.518,1.274,0.012800674,0.00850258,,
KITE1.1,KITE1.1_29,lighter orange brown silt-clay,,,28,51.5,56.5,56.5,4958.74,5577.10,5325.62,5311.69,0.00667,13/08/2018,1.09340,3.63240,1.50,2.80500,2.53900,1.712,1.693,1.141,32.588,67.412,1.638,0.039,1409.068,1.807,507.275,280.751,2546.097,0.539,1.180,0.012054203,0.008126023,,
KITE1.1,KITE1.1_30,lighter orange brown silt-clay,,,29,52.5,57.5,57.5,5260.79,5630.65,5475.52,5471.24,0.00849,13/08/2018,1.09330,3.12590,1.25,2.55180,2.03260,1.459,1.626,1.167,28.245,71.755,1.724,0.025,1293.237,1.851,476.650,258.112,2389.876,0.514,1.127,0.015724813,0.011283401,,
KITE1.1,KITE1.1_31,lighter orange brown silt-clay,,,30,53.5,58.5,58.5,5449.36,5732.39,5593.24,5595.09,0.00000,13/08/2018,1.06200,4.43770,2.00,3.82210,3.37570,2.760,1.688,1.380,18.236,81.764,1.744,0.007,735.306,1.858,258.475,139.372,1369.849,0.510,1.216,0,0,,
KITE1.1,KITE1.1_32, fine light grey then dark drey ash layer,,,31,54.5,59.5,59.5,5449.36,5732.39,5593.24,5595.09,0.00000,13/08/2018,1.06230,3.09590,1.25,2.63420,2.03360,1.572,1.627,1.258,22.704,77.296,1.721,0.001,349.885,1.793,392.675,219.071,627.733,0.547,1.414,0,0,,
KITE1.1,KITE1.1_33, fine light grey then dark drey ash layer,,,32,55.5,60.5,60.5,5449.36,5732.39,5593.24,5595.09,0.00000,13/08/2018,1.05700,3.28390,1.50,2.76840,2.22690,1.711,1.485,1.141,23.149,76.851,1.660,0.006,986.706,1.806,655.075,362.134,1786.234,0.540,1.307,0,0,,
KITE1.1,KITE1.1_34,light grey brown silt-clay,,,33,56.5,61.5,61.5,5449.36,5732.39,5593.24,5595.09,0.00000,13/08/2018,1.06210,3.42130,1.50,2.86920,2.35920,1.807,1.573,1.205,23.402,76.598,1.614,0.104,1447.215,1.800,245.250,136.310,2604.327,0.543,1.155,0,0,,
KITE1.1,KITE1.1_35,light grey brown silt-clay,,,34,57.5,62.5,62.5,5449.36,5732.39,5593.24,5595.09,0.00000,13/08/2018,1.06430,3.93190,1.75,3.12140,2.86760,2.057,1.639,1.175,28.264,71.736,1.569,0.112,1683.644,1.776,159.425,89.463,2988.291,0.557,0.985,0,0,,
KITE1.1,KITE1.1_36,light orange brown silt-clay,,,35,58.5,63.5,63.5,5449.36,5732.39,5593.24,5595.09,0.01109,13/08/2018,1.06390,4.16790,2.00,3.20120,3.10400,2.137,1.552,1.069,31.144,68.856,1.547,0.022,1385.845,1.737,301.850,174.645,2405.756,0.579,0.855,0.019255543,0.013258657,,
KITE1.1,KITE1.1_37,light orange brown silt-clay,,,36,59.5,64.5,64.5,5539.84,5933.22,5683.44,5695.15,0.01258,13/08/2018,1.06790,2.19120,0.75,1.77170,1.12330,0.704,1.498,0.938,37.345,62.655,1.574,0.018,1096.806,1.725,588.600,341.469,1887.365,0.586,0.815,0.02168794,0.014,,
KITE1.1,KITE1.1_38,light grey brown silt-clay,,,37,60.5,65.5,65.5,5565.92,6178.83,5762.96,5795.21,0.00601,13/08/2018,1.05750,2.82700,1.25,2.27800,1.76950,1.221,1.416,0.976,31.026,68.974,1.631,0.000,121.377,1.741,395.075,226.851,211.803,0.577,0.909,0.010465557,0.007218543,,
KITE1.1,KITE1.1_39,light grey brown silt-clay,,,38,61.5,66.5,66.5,5671.48,6366.89,5929.32,5953.70,0.00440,13/08/2018,1.05850,4.04160,1.75,3.22130,2.98310,2.163,1.705,1.236,27.498,72.502,1.676,0.001,285.096,1.771,523.075,294.528,506.593,0.560,0.933,0.007790035,0.005647913,,
KITE1.1,KITE1.1_40,light grey brown silt-clay,,,39,62.5,67.5,67.5,5746.60,6555.29,6156.62,6151.15,0.00498,13/08/2018,1.06800,4.49080,2.00,3.59920,3.42280,2.531,1.711,1.266,26.049,73.951,1.711,0.000,17.465,1.761,862.875,490.572,30.754,0.565,0.957,0.008773726,0.006488271,,
KITE1.1,KITE1.1_31,light grey brown silt-clay,,,40,63.5,68.5,68.5,5801.51,6864.76,6357.35,6348.60,0.00524,13/08/2018,1.06980,3.25140,1.25,2.66700,2.18160,1.597,1.745,1.278,26.788,73.212,1.808,0.000,18.463,1.763,815.575,464.181,32.555,0.564,1.010,0.009244939,0.006768435,,
